fourgram,frequency
bir şey var mı,41773
bir sorun mu var,21423
ben de seni seviyorum,17338
bu da ne demek,16884
gereken bir şey var,15683
en son ne zaman,15141
başka bir şey var,12619
bir şey daha var,12185
bu da ne böyle,12110
hayır hayır hayır hayır,11959
bir şey mi var,11834
o kadar da kötü,10198
bir şey mi oldu,9845
ne var ne yok,9276
ne var biliyor musun,8447
ne olduğunu biliyor musun,7923
da ne demek oluyor,6726
önemli bir şey değil,6650
diye bir şey yok,6532
başka bir şey yok,5895
bu iyi bir şey,5753
burada ne işi var,5689
de öyle değil mi,5379
neden böyle bir şey,5310
bu ne demek oluyor,5151
bir şey değil mi,5080
nerede olduğunu biliyor musun,5037
çok güzel değil mi,5026
bir şey yok mu,5016
bir şey ister misin,4923
sadece sen ve ben,4868
onun gibi bir şey,4780
kadar da kötü değil,4742
benim için bir şey,4714
daha önce hiç böyle,4183
başka bir şey değil,4179
seni görmek çok güzel,4175
hiç böyle bir şey,4098
seni görmek ne güzel,4052
yanlış bir şey mi,3948
bir şey söyledi mi,3902
bu hiç iyi değil,3832
bunu daha önce de,3803
için çok teşekkür ederim,3598
kim olduğunu biliyor musun,3552
nasıl bir şey olduğunu,3521
öyle ya da böyle,3468
neden bu kadar uzun,3385
bir tane daha var,3315
daha önce böyle bir,3272
ya da başka bir,3261
olduğunu biliyorsun değil mi,3258
hiç bir şey yok,3181
öyle bir şey yok,3165
bir yer var mı,3157
hepsi bu kadar mı,3119
çok uzun zaman oldu,3119
evet mi hayır mı,3110
benim için çok önemli,3102
bunu biliyorsun değil mi,3077
o zaman ben de,3036
başka bir şey daha,3025
pek bir şey yok,2928
her şey için teşekkürler,2889
ben de aynı şeyi,2749
bir şeyler var mı,2726
ne kadar güzel bir,2667
bunu sen de biliyorsun,2664
da ne demek şimdi,2659
bunun ne olduğunu biliyor,2656
nasıl bu kadar emin,2642
ne demek biliyor musun,2599
kötü bir şey mi,2580
evet ben de öyle,2565
sana yardım etmek istiyorum,2537
ne olur ne olmaz,2497
her şey iyi olacak,2479
öyle bir şey değil,2478
bunun ne demek olduğunu,2458
ne demek oluyor bu,2431
ne kadar zor olduğunu,2414
ne kadar önemli olduğunu,2406
neden bu kadar çok,2394
daha iyi değil mi,2362
tek bir şey var,2360
çok kötü bir şey,2350
çok önemli bir şey,2348
bu çok büyük bir,2342
bir şey biliyor musun,2329
bir ya da iki,2326
evet ya da hayır,2315
senin için bir şey,2303
sen de ister misin,2296
bu çok güzel bir,2288
önemli olan da bu,2278
o kadar kötü değil,2270
bu benim için çok,2256
bunu daha önce hiç,2226
gibi bir şey mi,2213
bir şey oldu mu,2204
önce böyle bir şey,2199
yok öyle bir şey,2191
çok uzun zaman önce,2176
o da ne demek,2171
olan bir şey var,2134
hey hey hey hey,2117
her zaman olduğu gibi,2107
önce hiç böyle bir,2102
iyi bir şey değil,2101
senin için her şeyi,2087
için çok özür dilerim,2080
bu harika bir şey,2069
bir şey ister misiniz,2048
daha iyi bir yer,2043
o kadar da zor,2038
o kadar da değil,2026
bu çok iyi bir,1963
onu en son ne,1949
ne güzel değil mi,1943
hayır bu doğru değil,1940
hakkında hiçbir şey bilmiyorum,1927
sorun olmaz değil mi,1923
hayır öyle bir şey,1901
gereken çok şey var,1900
orada kimse var mı,1879
sana ne oldu böyle,1863
sana yardım etmek için,1846
ben de öyle dedim,1842
daha iyi bir şey,1824
önemli olan tek şey,1819
bu ne demek şimdi,1818
benim için sorun değil,1813
ben öyle bir şey,1807
bir dakika bir dakika,1805
bu ne demek biliyor,1785
burada hiçbir şey yok,1773
olan ne biliyor musun,1772
da başka bir şey,1762
ne kadar zor olabilir,1762
bir daha görmek istemiyorum,1730
sorun yok değil mi,1723
