sentence,frequency,ratio,cumul_ratio
hayır,132,0.7848266841072596,0.7848266841072596
evet,128,0.7610440573161306,1.54587074142339
evet efendim,98,0.5826743563826625,2.1285450978060525
boris,54,0.3210654616802426,2.449610559486295
neden,52,0.30917414828467804,2.758784707770973
teşekkür ederim,40,0.23782626791129083,2.996610975682264
pekala,32,0.19026101432903264,3.1868719900112965
ne oldu,29,0.17242404423568583,3.359296034246982
haydi,29,0.17242404423568583,3.531720078482668
bilmiyorum,28,0.16647838753790356,3.6981984660205716
günaydın,27,0.1605327308401213,3.8587311968606928
lütfen,25,0.14864141744455675,4.0073726143052495
güzel,24,0.14269576074677448,4.150068375052024
teşekkürler,23,0.1367501040489922,4.286818479101016
seni seviyorum,22,0.13080444735120994,4.417622926452226
stepan,20,0.11891313395564541,4.5365360604078715
ne,20,0.11891313395564541,4.655449194363517
elbette,19,0.11296747725786313,4.76841667162138
öyle mi,19,0.11296747725786313,4.881384148879243
tabur rahat,18,0.10702182056008087,4.988405969439324
olamaz,18,0.10702182056008087,5.0954277899994045
peki efendim,18,0.10702182056008087,5.202449610559485
öldür onu,18,0.10702182056008087,5.309471431119566
doğru,18,0.10702182056008087,5.416493251679647
sincap,18,0.10702182056008087,5.523515072239728
bekle,17,0.10107616386229859,5.6245912361020265
bir iki üç dört,16,0.09513050716451632,5.719721743266543
bak,14,0.08323919376895178,5.802960937035495
biliyorum,14,0.08323919376895178,5.886200130804447
veronica,14,0.08323919376895178,5.969439324573399
dikkat,14,0.08323919376895178,6.052678518342351
veronika,14,0.08323919376895178,6.135917712111302
nehri izle,14,0.08323919376895178,6.219156905880254
hayır teşekkürler,14,0.08323919376895178,6.302396099649206
hayır efendim,14,0.08323919376895178,6.385635293418158
devam et,13,0.07729353707116951,6.462928830489328
şimdi,13,0.07729353707116951,6.540222367560498
çok teşekkürler,13,0.07729353707116951,6.617515904631667
sakin ol,13,0.07729353707116951,6.694809441702837
anlıyorum,12,0.07134788037338724,6.766157322076224
onu serbest bırakın,12,0.07134788037338724,6.837505202449611
reeves devam edebilir misin,12,0.07134788037338724,6.908853082822998
gözler sağa,12,0.07134788037338724,7.051548843569772
özür dilerim,12,0.07134788037338724,7.122896723943159
kahretsin,12,0.07134788037338724,7.1942446043165456
işinizi seve seve yapın,12,0.07134788037338724,7.2655924846899325
çok güzel,12,0.07134788037338724,7.336940365063319
bakın,12,0.07134788037338724,7.408288245436706
oturun lütfen,12,0.07134788037338724,7.479636125810093
çünkü o çok iyi bir adamdır,12,0.07134788037338724,7.55098400618348
jennings,12,0.07134788037338724,7.622331886556867
ingiliz mahkumlar,12,0.07134788037338724,7.693679766930254
senin için,12,0.07134788037338724,7.765027647303641
grant,12,0.07134788037338724,7.836375527677028
köprü,12,0.07134788037338724,7.907723408050415
bırakın,12,0.07134788037338724,7.9790712884238015
tabur dikkat,12,0.07134788037338724,8.05041916879719
hepimiz böyle düşünüyoruz,12,0.07134788037338724,8.121767049170577
ingilizlerden nefret ediyorum,12,0.07134788037338724,8.193114929543965
yerinizde kalın,12,0.07134788037338724,8.264462809917353
yardım edin,12,0.07134788037338724,8.33581069029074
şerefe,12,0.07134788037338724,8.407158570664128
merhaba,12,0.07134788037338724,8.478506451037516
diğer konuya geçelim,12,0.07134788037338724,8.549854331410904
gel,11,0.06540222367560497,8.615256555086509
tabii,11,0.06540222367560497,8.680658778762114
haklısın,11,0.06540222367560497,8.746061002437719
ya sen,11,0.06540222367560497,8.811463226113323
oh evet,11,0.06540222367560497,8.876865449788928
beni rahat bırak,10,0.05945656697782271,8.93632201676675
bu ne,10,0.05945656697782271,8.995778583744572
bir dakika,10,0.05945656697782271,9.055235150722394
boşver,10,0.05945656697782271,9.114691717700216
nereye,10,0.05945656697782271,9.174148284678038
dersi bitmek üzere olmalı,10,0.05945656697782271,9.23360485165586
kes şunu,10,0.05945656697782271,9.293061418633682
hiçbir fikrim yok,10,0.05945656697782271,9.352517985611504
anlıyor musunuz,10,0.05945656697782271,9.411974552589326
iyi geceler,10,0.05945656697782271,9.471431119567148
oh,10,0.05945656697782271,9.53088768654497
hey,10,0.05945656697782271,9.590344253522792
