fivegram,frequency
başka bir şey var mı,14104
bu da ne demek oluyor,10205
o kadar da kötü değil,7012
bu da ne demek şimdi,4791
hayır hayır hayır hayır hayır,4380
bunun ne olduğunu biliyor musun,4019
onun burada ne işi var,2954
bu ne demek biliyor musun,2896
ne kadar zor olabilir ki,2250
daha önce böyle bir şey,2160
daha önce hiç böyle bir,2100
başka bir şey daha var,2079
al benden de o kadar,1988
seni bir daha görmek istemiyorum,1968
onu en son ne zaman,1949
her şey için teşekkür ederim,1848
ya da başka bir şey,1838
bu da demek oluyor ki,1747
bir şeyler yemek ister misin,1689
ne kadar güzel değil mi,1647
bu benim için çok önemli,1535
önce hiç böyle bir şey,1491
güzel bir gün değil mi,1423
bu iyi bir şey değil,1423
ya da öyle bir şey,1396
bu iyi bir şey mi,1357
biz diye bir şey yok,1356
daha önce hiç bu kadar,1300
bir tane daha ister misin,1278
için ne kadar önemli olduğunu,1273
o kadar da zor değil,1242
başka bir şey yok mu,1230
yeni bir şey var mı,1219
hayır öyle bir şey değil,1212
gereken bir şey var mı,1209
yanlış bir şey mi var,1203
ne olur ne olmaz diye,1166
seni tekrar görmek çok güzel,1133
ama ne var biliyor musun,1115
başka bir şey ister misin,1102
ben de seni seviyorum baba,1096
bunu evet olarak kabul ediyorum,1094
ne demek olduğunu biliyor musun,1092
iyi bir şey değil mi,1057
bu kötü bir şey mi,1053
ne kadar kötü olabilir ki,1053
evet onun gibi bir şey,1046
bir şey görmek ister misin,999
ya da onun gibi bir,972
o kadar da önemli değil,955
sana bir şey söyledi mi,928
senin için sorun olur mu,913
her şey için özür dilerim,903
bir şey yok değil mi,893
her şey çok güzel olacak,888
başka bir şey ister misiniz,887
onun kim olduğunu biliyor musun,880
en kötü ne olabilir ki,865
ne kadar zor olduğunu biliyorum,863
için ne kadar zor olduğunu,858
hakkında bir şey biliyor musun,856
ben o kadar emin değilim,826
gereken başka bir şey var,811
ben de seni seviyorum anne,811
kötü bir şey mi oldu,801
hey hey hey hey hey,799
bu lanet şey de ne,790
o kadar çok şey var,790
kadar çok şey var ki,786
da onun gibi bir şey,773
önemli olan tek şey bu,754
gereken bir şey daha var,750
senin için zor olduğunu biliyorum,748
bu ne demek oluyor şimdi,744
bir daha böyle bir şey,740
başka bir şey söyledi mi,737
böyle bir şey nasıl olabilir,733
hayır öyle bir şey yok,722
son bir şey daha var,720
bunun ne demek olduğunu biliyor,708
en son ne zaman bir,692
ha ha ha ha ha,688
bu hiç de iyi değil,684
ne olduğunu biliyorsun değil mi,680
bu kadar önemli olan ne,675
bir sorun yok değil mi,674
seni tekrar görmek ne güzel,674
benim için ne kadar önemli,649
bunun burada ne işi var,636
çok ama çok özür dilerim,614
bunun için artık çok geç,614
bir sorun mu var efendim,613
başka bir şey mi var,610
bana bir dakika izin ver,608
bu tam olarak doğru değil,607
ben de seni seviyorum tatlım,606
çok kötü bir şey oldu,597
bu işte bir iş var,595
neden burada olduğunu biliyor musun,585
bu iyi mi kötü mü,582
dur dur dur dur dur,580
senin için ne kadar zor,575
sizi tekrar görmek ne güzel,565
her şey için sağ ol,564
bana mı öyle geliyor yoksa,564
hayır yok öyle bir şey,560
ne var ne yok dostum,552
bunun kim olduğunu biliyor musun,552
o kadar da kötü bir,552
uzun zaman oldu değil mi,538
seni görmek de çok güzel,529
ilgili bir sorun mu var,528
ona bir şey mi oldu,512
bu öyle bir şey değil,507
bana yardım etmek ister misin,504
ve ne var biliyor musun,496
onun ne işi var burada,495
senin için bu kadar önemli,493
bunun nasıl bir şey olduğunu,492
bir şey yok bir şey,490
daha kötü ne olabilir ki,489
da ne demek oluyor şimdi,487
bu şey de ne böyle,487
ne kadar harika değil mi,481
bunun ne demek olduğunu bilmiyorum,479
o kadar çok seviyorum ki,473
bütün bunlar ne demek oluyor,473
o da ne demek oluyor,473
çok güzel öyle değil mi,471
ne kadar önemli olduğunu biliyorum,466
yoksa başka bir şey mi,466
o kadar da iyi değil,462
ilgili bir şey var mı,461
senin için ne kadar önemli,460
için iyi bir zaman değil,459
çok önemli bir şey var,457
için biraz geç değil mi,456
bir şey yemek ister misin,450
ve bunu sen de biliyorsun,450
her şey için çok üzgünüm,448
senin için bir şey var,445
bunu hayır olarak kabul ediyorum,445
bir şeyler yapmak ister misin,440
bu kötü bir şey değil,438
gereken bir şey mi var,436
sizi tekrar görmek çok güzel,436
sen bir şey ister misin,434
ya şimdi ya da asla,433
bunun ne demek olduğunu biliyorsun,433
başka bir şey lazım mı,431
bir ya da iki kez,431
yanlış olan bir şeyler var,427
bu o kadar da kötü,427
senin için çok zor olmalı,427
her şey daha iyi olacak,426
ne kadar güzel bir gün,426
harika bir şey değil mi,425
az önce ne oldu öyle,417
bu benim için çok zor,413
ben de seni çok seviyorum,411
onunla en son ne zaman,409
senin için neden bu kadar,407
burada bir sorun mu var,405
tamam ne var biliyor musun,404
bu benim için büyük bir,403
tam olarak ne demek istiyorsun,402
bir şey var mı diye,401
senin için daha iyi olur,401
kim olduğunu biliyorsun değil mi,400
için neden bu kadar önemli,399
evet evet evet evet evet,398
bu doğru değil değil mi,396
böyle daha iyi değil mi,395
ve bir şey daha var,393
ama bir şey daha var,393
her şey için çok teşekkürler,393
bir şey yok tamam mı,392
bu da iyi bir şey,390
ama o kadar da değil,388
bu çok güzel bir şey,388
