fourgram,fivegram,frequency
bir şey var mı,başka bir şey var mı,14104
başka bir şey var,başka bir şey var mı,14104
da ne demek oluyor,bu da ne demek oluyor,10205
bu da ne demek,bu da ne demek oluyor,10205
o kadar da kötü,o kadar da kötü değil,7012
kadar da kötü değil,o kadar da kötü değil,7012
da ne demek şimdi,bu da ne demek şimdi,4791
bu da ne demek,bu da ne demek şimdi,4791
hayır hayır hayır hayır,hayır hayır hayır hayır hayır,4380
bunun ne olduğunu biliyor,bunun ne olduğunu biliyor musun,4019
ne olduğunu biliyor musun,bunun ne olduğunu biliyor musun,4019
burada ne işi var,onun burada ne işi var,2954
onun burada ne işi,onun burada ne işi var,2954
ne demek biliyor musun,bu ne demek biliyor musun,2896
bu ne demek biliyor,bu ne demek biliyor musun,2896
kadar zor olabilir ki,ne kadar zor olabilir ki,2250
ne kadar zor olabilir,ne kadar zor olabilir ki,2250
önce böyle bir şey,daha önce böyle bir şey,2160
daha önce böyle bir,daha önce böyle bir şey,2160
daha önce hiç böyle,daha önce hiç böyle bir,2100
önce hiç böyle bir,daha önce hiç böyle bir,2100
bir şey daha var,başka bir şey daha var,2079
başka bir şey daha,başka bir şey daha var,2079
benden de o kadar,al benden de o kadar,1988
al benden de o,al benden de o kadar,1988
bir daha görmek istemiyorum,seni bir daha görmek istemiyorum,1968
seni bir daha görmek,seni bir daha görmek istemiyorum,1968
en son ne zaman,onu en son ne zaman,1949
onu en son ne,onu en son ne zaman,1949
şey için teşekkür ederim,her şey için teşekkür ederim,1848
her şey için teşekkür,her şey için teşekkür ederim,1848
da başka bir şey,ya da başka bir şey,1838
ya da başka bir,ya da başka bir şey,1838
bu da demek oluyor,bu da demek oluyor ki,1747
da demek oluyor ki,bu da demek oluyor ki,1747
şeyler yemek ister misin,bir şeyler yemek ister misin,1689
bir şeyler yemek ister,bir şeyler yemek ister misin,1689
kadar güzel değil mi,ne kadar güzel değil mi,1647
ne kadar güzel değil,ne kadar güzel değil mi,1647
bu benim için çok,bu benim için çok önemli,1535
benim için çok önemli,bu benim için çok önemli,1535
önce hiç böyle bir,önce hiç böyle bir şey,1491
hiç böyle bir şey,önce hiç böyle bir şey,1491
iyi bir şey değil,bu iyi bir şey değil,1423
güzel bir gün değil,güzel bir gün değil mi,1423
bir gün değil mi,güzel bir gün değil mi,1423
bu iyi bir şey,bu iyi bir şey değil,1423
da öyle bir şey,ya da öyle bir şey,1396
ya da öyle bir,ya da öyle bir şey,1396
bu iyi bir şey,bu iyi bir şey mi,1357
iyi bir şey mi,bu iyi bir şey mi,1357
biz diye bir şey,biz diye bir şey yok,1356
diye bir şey yok,biz diye bir şey yok,1356
daha önce hiç bu,daha önce hiç bu kadar,1300
önce hiç bu kadar,daha önce hiç bu kadar,1300
bir tane daha ister,bir tane daha ister misin,1278
tane daha ister misin,bir tane daha ister misin,1278
için ne kadar önemli,için ne kadar önemli olduğunu,1273
ne kadar önemli olduğunu,için ne kadar önemli olduğunu,1273
o kadar da zor,o kadar da zor değil,1242
kadar da zor değil,o kadar da zor değil,1242
bir şey yok mu,başka bir şey yok mu,1230
başka bir şey yok,başka bir şey yok mu,1230
bir şey var mı,yeni bir şey var mı,1219
yeni bir şey var,yeni bir şey var mı,1219
öyle bir şey değil,hayır öyle bir şey değil,1212
hayır öyle bir şey,hayır öyle bir şey değil,1212
gereken bir şey var,gereken bir şey var mı,1209
bir şey var mı,gereken bir şey var mı,1209
bir şey mi var,yanlış bir şey mi var,1203
yanlış bir şey mi,yanlış bir şey mi var,1203
ne olur ne olmaz,ne olur ne olmaz diye,1166
olur ne olmaz diye,ne olur ne olmaz diye,1166
tekrar görmek çok güzel,seni tekrar görmek çok güzel,1133
seni tekrar görmek çok,seni tekrar görmek çok güzel,1133
ama ne var biliyor,ama ne var biliyor musun,1115
ne var biliyor musun,ama ne var biliyor musun,1115
bir şey ister misin,başka bir şey ister misin,1102
başka bir şey ister,başka bir şey ister misin,1102
ben de seni seviyorum,ben de seni seviyorum baba,1096
de seni seviyorum baba,ben de seni seviyorum baba,1096
evet olarak kabul ediyorum,bunu evet olarak kabul ediyorum,1094
bunu evet olarak kabul,bunu evet olarak kabul ediyorum,1094
ne demek olduğunu biliyor,ne demek olduğunu biliyor musun,1092
demek olduğunu biliyor musun,ne demek olduğunu biliyor musun,1092
bir şey değil mi,iyi bir şey değil mi,1057
iyi bir şey değil,iyi bir şey değil mi,1057
kadar kötü olabilir ki,ne kadar kötü olabilir ki,1053
ne kadar kötü olabilir,ne kadar kötü olabilir ki,1053
kötü bir şey mi,bu kötü bir şey mi,1053
bu kötü bir şey,bu kötü bir şey mi,1053
onun gibi bir şey,evet onun gibi bir şey,1046
evet onun gibi bir,evet onun gibi bir şey,1046
bir şey görmek ister,bir şey görmek ister misin,999
şey görmek ister misin,bir şey görmek ister misin,999
da onun gibi bir,ya da onun gibi bir,972
ya da onun gibi,ya da onun gibi bir,972
kadar da önemli değil,o kadar da önemli değil,955
o kadar da önemli,o kadar da önemli değil,955
bir şey söyledi mi,sana bir şey söyledi mi,928
sana bir şey söyledi,sana bir şey söyledi mi,928
senin için sorun olur,senin için sorun olur mu,913
için sorun olur mu,senin için sorun olur mu,913
her şey için özür,her şey için özür dilerim,903
şey için özür dilerim,her şey için özür dilerim,903
şey yok değil mi,bir şey yok değil mi,893
bir şey yok değil,bir şey yok değil mi,893
şey çok güzel olacak,her şey çok güzel olacak,888
her şey çok güzel,her şey çok güzel olacak,888
başka bir şey ister,başka bir şey ister misiniz,887
bir şey ister misiniz,başka bir şey ister misiniz,887
onun kim olduğunu biliyor,onun kim olduğunu biliyor musun,880
kim olduğunu biliyor musun,onun kim olduğunu biliyor musun,880
kötü ne olabilir ki,en kötü ne olabilir ki,865
en kötü ne olabilir,en kötü ne olabilir ki,865
ne kadar zor olduğunu,ne kadar zor olduğunu biliyorum,863
kadar zor olduğunu biliyorum,ne kadar zor olduğunu biliyorum,863
için ne kadar zor,için ne kadar zor olduğunu,858
ne kadar zor olduğunu,için ne kadar zor olduğunu,858
hakkında bir şey biliyor,hakkında bir şey biliyor musun,856
bir şey biliyor musun,hakkında bir şey biliyor musun,856
o kadar emin değilim,ben o kadar emin değilim,826
ben o kadar emin,ben o kadar emin değilim,826
başka bir şey var,gereken başka bir şey var,811
gereken başka bir şey,gereken başka bir şey var,811
ben de seni seviyorum,ben de seni seviyorum anne,811
bir şey mi oldu,kötü bir şey mi oldu,801
kötü bir şey mi,kötü bir şey mi oldu,801
hey hey hey hey,hey hey hey hey hey,799
bu lanet şey de,bu lanet şey de ne,790
lanet şey de ne,bu lanet şey de ne,790
kadar çok şey var,o kadar çok şey var,790
o kadar çok şey,o kadar çok şey var,790
kadar çok şey var,kadar çok şey var ki,786
çok şey var ki,kadar çok şey var ki,786
da onun gibi bir,da onun gibi bir şey,773
onun gibi bir şey,da onun gibi bir şey,773
önemli olan tek şey,önemli olan tek şey bu,754
olan tek şey bu,önemli olan tek şey bu,754
gereken bir şey daha,gereken bir şey daha var,750
bir şey daha var,gereken bir şey daha var,750
için zor olduğunu biliyorum,senin için zor olduğunu biliyorum,748
senin için zor olduğunu,senin için zor olduğunu biliyorum,748
ne demek oluyor şimdi,bu ne demek oluyor şimdi,744
bu ne demek oluyor,bu ne demek oluyor şimdi,744
daha böyle bir şey,bir daha böyle bir şey,740
bir daha böyle bir,bir daha böyle bir şey,740
bir şey söyledi mi,başka bir şey söyledi mi,737
başka bir şey söyledi,başka bir şey söyledi mi,737
böyle bir şey nasıl,böyle bir şey nasıl olabilir,733
öyle bir şey yok,hayır öyle bir şey yok,722
hayır öyle bir şey,hayır öyle bir şey yok,722
bir şey daha var,son bir şey daha var,720
son bir şey daha,son bir şey daha var,720
bunun ne demek olduğunu,bunun ne demek olduğunu biliyor,708
ne demek olduğunu biliyor,bunun ne demek olduğunu biliyor,708
en son ne zaman,en son ne zaman bir,692
son ne zaman bir,en son ne zaman bir,692
ha ha ha ha,ha ha ha ha ha,688
hiç de iyi değil,bu hiç de iyi değil,684
bu hiç de iyi,bu hiç de iyi değil,684
olduğunu biliyorsun değil mi,ne olduğunu biliyorsun değil mi,680
ne olduğunu biliyorsun değil,ne olduğunu biliyorsun değil mi,680
kadar önemli olan ne,bu kadar önemli olan ne,675
bu kadar önemli olan,bu kadar önemli olan ne,675
sorun yok değil mi,bir sorun yok değil mi,674
tekrar görmek ne güzel,seni tekrar görmek ne güzel,674
seni tekrar görmek ne,seni tekrar görmek ne güzel,674
bir sorun yok değil,bir sorun yok değil mi,674
için ne kadar önemli,benim için ne kadar önemli,649
benim için ne kadar,benim için ne kadar önemli,649
burada ne işi var,bunun burada ne işi var,636
için artık çok geç,bunun için artık çok geç,614
bir sorun mu var,bir sorun mu var efendim,613
başka bir şey mi,başka bir şey mi var,610
bir şey mi var,başka bir şey mi var,610
bir dakika izin ver,bana bir dakika izin ver,608
bana bir dakika izin,bana bir dakika izin ver,608
tam olarak doğru değil,bu tam olarak doğru değil,607
ben de seni seviyorum,ben de seni seviyorum tatlım,606
çok kötü bir şey,çok kötü bir şey oldu,597
kötü bir şey oldu,çok kötü bir şey oldu,597
iyi mi kötü mü,bu iyi mi kötü mü,582
dur dur dur dur,dur dur dur dur dur,580
senin için ne kadar,senin için ne kadar zor,575
için ne kadar zor,senin için ne kadar zor,575
sizi tekrar görmek ne,sizi tekrar görmek ne güzel,565
tekrar görmek ne güzel,sizi tekrar görmek ne güzel,565
bana mı öyle geliyor,bana mı öyle geliyor yoksa,564
her şey için sağ,her şey için sağ ol,564
mı öyle geliyor yoksa,bana mı öyle geliyor yoksa,564
yok öyle bir şey,hayır yok öyle bir şey,560
o kadar da kötü,o kadar da kötü bir,552
ne var ne yok,ne var ne yok dostum,552
kim olduğunu biliyor musun,bunun kim olduğunu biliyor musun,552
kadar da kötü bir,o kadar da kötü bir,552
bir sorun mu var,ilgili bir sorun mu var,528
ilgili bir sorun mu,ilgili bir sorun mu var,528
bir şey mi oldu,ona bir şey mi oldu,512
ona bir şey mi,ona bir şey mi oldu,512
öyle bir şey değil,bu öyle bir şey değil,507
yardım etmek ister misin,bana yardım etmek ister misin,504
ne var biliyor musun,ve ne var biliyor musun,496
ne işi var burada,onun ne işi var burada,495
senin için bu kadar,senin için bu kadar önemli,493
için bu kadar önemli,senin için bu kadar önemli,493
nasıl bir şey olduğunu,bunun nasıl bir şey olduğunu,492
bunun nasıl bir şey,bunun nasıl bir şey olduğunu,492
bir şey yok bir,bir şey yok bir şey,490
şey yok bir şey,bir şey yok bir şey,490
daha kötü ne olabilir,daha kötü ne olabilir ki,489
kötü ne olabilir ki,daha kötü ne olabilir ki,489
bu şey de ne,bu şey de ne böyle,487
ne demek oluyor şimdi,da ne demek oluyor şimdi,487
şey de ne böyle,bu şey de ne böyle,487
da ne demek oluyor,da ne demek oluyor şimdi,487
bunun ne demek olduğunu,bunun ne demek olduğunu bilmiyorum,479
ne demek olduğunu bilmiyorum,bunun ne demek olduğunu bilmiyorum,479
kadar çok seviyorum ki,o kadar çok seviyorum ki,473
o kadar çok seviyorum,o kadar çok seviyorum ki,473
o da ne demek,o da ne demek oluyor,473
da ne demek oluyor,o da ne demek oluyor,473
bütün bunlar ne demek,bütün bunlar ne demek oluyor,473
bunlar ne demek oluyor,bütün bunlar ne demek oluyor,473
