threegram,frequency
bir şey yok,113165
bir şey var,110455
bu da ne,89463
başka bir şey,75193
hayır hayır hayır,69443
bir şey değil,68498
öyle değil mi,68442
bir şey mi,64933
ne demek istiyorsun,63142
sana bir şey,56713
böyle bir şey,51970
şey var mı,42434
sen iyi misin,42180
ben de seni,41682
ben de öyle,41375
çok teşekkür ederim,39985
daha önce hiç,39712
için özür dilerim,36255
daha iyi bir,35136
neden bu kadar,34101
o kadar da,33638
öyle bir şey,33405
için teşekkür ederim,31066
çok güzel bir,30839
hiçbir şey yok,30426
hiç bir şey,30192
çok iyi bir,29751
sen ve ben,29751
bir tane daha,29084
bu doğru değil,27830
biliyorsun değil mi,27044
bir şey daha,26750
gibi bir şey,26189
bir kez daha,26049
bir iki üç,26008
sorun mu var,25947
da ne demek,25719
olduğunu biliyor musun,25713
çok özür dilerim,24958
ama yine de,24833
bir sorun mu,23012
yok bir şey,22514
burada ne yapıyorsun,22360
gereken bir şey,22212
daha önce de,21498
bir daha asla,20897
tamam o zaman,20129
bu iyi bir,20057
bu kadar mı,20046
benim için bir,19252
önemli bir şey,19011
için sağ ol,18926
ne kadar da,18799
o da ne,18569
hem de çok,18245
güzel değil mi,17883
de seni seviyorum,17578
kimse yok mu,17575
uzun zaman oldu,17432
ne demek oluyor,17346
kimse var mı,17343
tam olarak ne,17185
ve ben de,17113
evet ben de,16980
diye bir şey,16844
dur bir dakika,16714
yok değil mi,16604
kötü bir şey,16451
daha ne kadar,16450
daha iyi olur,16365
çok büyük bir,16228
çok daha iyi,16197
peki ya sen,16151
iyi bir şey,16038
bu ne demek,16028
ve sen de,15688
en son ne,15657
var değil mi,15495
ne yapıyorsun sen,15477
bunu daha önce,15310
son ne zaman,15200
senin için bir,15195
bekle bir dakika,15128
bana yardım et,15031
hepsi bu kadar,14986
bir sorun var,14834
da ne böyle,14812
bana bir şey,14647
bu senin için,14476
yanlış bir şey,14428
o zaman neden,14356
ben bir şey,14274
bir şeyler var,14213
için bir şey,13983
bu çok güzel,13781
uzun zaman önce,13706
ne biliyor musun,13581
ben de bir,13571
bu doğru mu,13259
çok kötü bir,13205
ne kadar güzel,13166
bir şey olmaz,13087
ve bu da,12944
o kadar çok,12920
her şey için,12912
bu kadar çok,12879
bu yüzden mi,12806
için her şeyi,12789
şimdi ne olacak,12749
hiç bu kadar,12725
nasıl bu kadar,12643
benim için çok,12593
ne işi var,12583
şey daha var,12524
bu sadece bir,12497
ne demek bu,12463
bir şey oldu,12284
çok şey var,12269
bir an önce,12191
için ne kadar,11981
şey mi var,11918
bu çok kötü,11808
bir şey olduğunu,11771
değil değil mi,11716
ben de sana,11522
bu çok iyi,11444
sen ne yapıyorsun,11375
ilgili bir şey,11333
hepsi bu mu,11291
burada neler oluyor,11131
hey hey hey,11084
çok önemli bir,11035
bu benim için,10928
var biliyor musun,10795
