twogram,frequency
bir şey,859944
değil mi,585879
ben de,377765
teşekkür ederim,370619
ne oldu,322758
var mı,281902
hayır hayır,266457
tamam mı,264540
öyle mi,263184
özür dilerim,260661
ne kadar,237876
ne yapıyorsun,236176
bu kadar,215204
o zaman,213235
aman tanrım,211520
her şey,210860
hiçbir şey,209701
biliyor musun,195768
ne demek,188846
bu da,182084
ister misin,161286
sen de,161118
lanet olsun,159215
çok güzel,157881
neler oluyor,152993
bu çok,148964
ne var,146707
bu bir,146347
bir dakika,141865
gerçekten mi,141653
ne zaman,131571
çok iyi,131311
da ne,123194
her şeyi,122208
o kadar,121648
daha iyi,120626
bir şeyler,120619
sorun değil,118971
başka bir,118715
sağ ol,118688
seni seviyorum,118001
tabii ki,117388
ya da,115657
senin için,114437
benim için,110681
iyi bir,105103
belki de,103799
devam et,103603
bu ne,101662
şey yok,100881
daha önce,98891
emin misin,97420
bir daha,96832
burada ne,93996
o da,93402
sana bir,93343
evet efendim,92025
bu yüzden,91601
her zaman,88460
şey var,86291
gerek yok,85325
önemli değil,85129
bu doğru,83486
hadi ama,79394
sadece bir,78472
güzel bir,77708
buraya gel,77235
bu gece,76846
büyük bir,76470
evet evet,74564
sen ne,72768
peki ya,72303
bu benim,72190
de öyle,68645
ne oluyor,67789
sorun yok,67313
ne istiyorsun,67289
iyi olur,67172
bir tane,66442
hem de,66414
daha fazla,66012
böyle bir,65876
yok mu,65222
ben bir,64146
şu anda,62703
bana bir,62661
demek istiyorsun,62558
bu mu,61663
hadi gidelim,61646
ama bu,61607
bir gün,61602
iyi misin,61541
hepsi bu,60964
için bir,59282
yardım edin,59104
çok üzgünüm,59089
öyle değil,58779
ne olduğunu,58662
yardım et,57826
ve ben,57423
biraz daha,57275
şey değil,57249
o bir,57224
o benim,57110
tamam tamam,56257
harika bir,55551
en iyi,55456
evet öyle,55261
bunun için,54810
ne olacak,54341
bu harika,53866
şimdi ne,53848
için çok,53564
şey mi,53409
hazır mısın,52495
bu senin,51026
gel buraya,50615
ne için,50196
şu an,49174
yeni bir,48983
sorun ne,48734
için teşekkürler,48504
ya sen,47517
bir yer,47168
sen iyi,47017
bir sorun,46935
çok kötü,46931
bir adam,46923
kötü bir,46273
bir yere,45907
ben mi,45805
bu iyi,45515
tam olarak,44747
ama ben,44484
küçük bir,44331
yine de,43919
olduğunu biliyorum,43301
daha çok,42784
bana yardım,42610
olur mu,42113
çok fazla,41568
bir iki,41525
ben sadece,41497
doğru değil,41379
sen bir,41293
sana ne,41036
bir iş,40826
beni dinle,40708
doğru mu,40701
bu o,40567
bir de,40481
devam edin,40036
tam bir,39957
bunu nasıl,39507
hadi hadi,39022
de seni,39021
için mi,38775
hiç bir,38707
ve bu,38556
kim olduğunu,37838
ne güzel,37424
çok teşekkür,37407
öyle bir,36881
bana bak,36878
bırak beni,36712
evet ama,36600
bir bak,36233
o yüzden,36190
bu adam,35753
nereden biliyorsun,35595
çok geç,35385
için üzgünüm,35132
kim o,34784
hayır ben,34153
biz de,34053
kimse yok,34026
evet biliyorum,33614
emin değilim,33474
onun için,33363
çok daha,33225
bir kız,33068
ve bir,32962
sen ve,32874
benim de,32860
sorun nedir,32837
sana yardım,32685
seni görmek,32669
bana ne,32528
bu şekilde,32456
nasıl yani,32441
nedir bu,32383
gibi bir,32353
kadar da,32210
hey hey,32071
nasıl bir,31518
sonra da,31455
bu işi,31396
çok teşekkürler,31230
al bakalım,31086
bunu neden,30692
o ne,30513
uzun zaman,30174
sen neden,29992
sen mi,29680
için ne,29645
mu var,29629
bir kez,29621
hayır efendim,29586
bir şeyi,29428
çok hoş,29271
de bir,29199
mi var,29189
burada mı,29073
tek bir,29072
gerçekten çok,29054
daha sonra,28712
çok şey,28705
az önce,28538
iyi mi,28451
senin gibi,28417
oh tanrım,28410
bir şekilde,28275
dur dur,28260
ister misiniz,27985
ve sen,27958
nerede olduğunu,27947
sizin için,27779
de çok,27768
olduğunu biliyor,27627
ama o,27599
daha da,27502
bu iş,27459
bu değil,27366
önemli bir,27287
nerede o,27258
iyi olacak,27223
neden bu,27189
ona ne,26956
hadi bakalım,26930
iyi değil,26744
hiç de,26620
bir çocuk,26557
daha var,26511
de bu,26392
sorun mu,26391
şey bu,26381
bir kadın,26343
şimdi de,26241
gereken bir,25967
evet tabii,25782
ama sen,25534
ama bir,25468
evet bu,25458
evet ben,25430
iki üç,25316
bu nasıl,25192
için özür,25187
oldu mu,25065
git buradan,24882
siz de,24695
hayır bu,24543
bu nedir,24442
tane daha,24417
bu hiç,24198
peki ne,24184
bir yerde,24150
hiç kimse,24012
o iyi,23951
çok önemli,23805
bana ver,23800
için teşekkür,23694
dur bir,23678
bu işe,23104
mi istiyorsun,23032
bırak onu,22969
kadar mı,22924
haydi gidelim,22877
başka ne,22664
oh evet,22579
her gün,22554
yok bir,22512
ne gibi,22502
izin ver,22432
o mu,22425
burada değil,22412
evet doğru,22406
bak ne,22326
seni çok,22295
bekle bekle,22253
için de,22244
ben ne,22195
şey daha,22170
önce hiç,22071
gerçek bir,21894
özel bir,21892
burada bir,21886
bunu yapmak,21757
sen benim,21616
ben senin,21521
ne böyle,21441
da bir,21353
çok özür,21109
sen misin,21097
bekle bir,20915
çok uzun,20906
kim bu,20880
istiyor musun,20775
bir kaç,20591
benimle gel,20485
gibi değil,20437
kim var,20404
da kim,20383
bu sadece,20262
sonra ne,20212
tek şey,20161
iyi bak,20128
da bu,20019
hayır mı,19982
en büyük,19981
mı istiyorsun,19903
dinle beni,19846
böyle mi,19844
bir saat,19844
bizim için,19728
yardım etmek,19726
en son,19675
hayır değil,19642
oh hayır,19628
o değil,19539
neden böyle,19398
her yerde,19260
biri var,19173
ve o,19122
nedir o,19025
gibi mi,18908
zaman oldu,18855
ne de,18827
dur biraz,18792
görmek istiyorum,18789
hayır teşekkürler,18780
ona bir,18708
size bir,18651
çok zor,18628
peki efendim,18620
evet çok,18572
neden bana,18520
olabilir miyim,18397
demek oluyor,18374
uzun bir,18288
etmek için,18056
bunu bana,18000
yine mi,17980
olduğunu bilmiyorum,17927
hadi gel,17887
söyle bana,17823
çok büyük,17743
neler olduğunu,17564
hiçbir yere,17488
bir bakalım,17401
tamam o,17338
onu bana,17289
çok mu,17273
kadar iyi,17202
ne hakkında,17088
daha yeni,17050
ama çok,16890
güzel değil,16799
lütfen beni,16747
bu işte,16669
bu onun,16666
kadar çok,16665
buna ne,16646
nasıl oldu,16495
daha ne,16490
çok seviyorum,16339
ve sonra,16337
yıl önce,16171
şimdi mi,16171
benim gibi,16111
öyle olsun,16097
bunu daha,16050
bunu nereden,15899
bu gerçekten,15839
önemli olan,15756
ben seni,15739
ama şimdi,15727
olan bir,15715
şey için,15662
kimse var,15646
gel hadi,15645
o senin,15637
evet o,15527
de ne,15505
orada ne,15474
ne olur,15467
bir hafta,15458
beni mi,15436
için sağ,15302
haydi ama,15191
senin de,15147
ama ne,15078
eski bir,15077
bir gece,15027
olmak istiyorum,14984
hakkında ne,14969
ver şunu,14941
var ki,14920
sorun var,14893
zor bir,14819
bence de,14817
sana da,14813
biliyorum ama,14747
bu güzel,14747
hiçbir zaman,14743
yok artık,14727
kez daha,14667
pek iyi,14665
bunu bir,14633
görmek güzel,14593
evet elbette,14549
için değil,14538
emin misiniz,14537
kadar kötü,14516
bunun ne,14465
biliyorsun değil,14428
bu bizim,14420
ve şimdi,14420
var senin,14412
ona yardım,14389
ben sana,14382
ama bunu,14368
demek bu,14360
bu gerçek,14347
şeyler var,14332
de mi,14324
evet sanırım,14321
yapıyorsun sen,14303
bu seni,14271
beni de,14253
bunu sen,14210
haydi haydi,14199
ben değilim,14192
ver bana,14058
önce de,14042
bir insan,14015
da var,13986
bunu sana,13975
de bunu,13924
burada neler,13852
o çok,13816
hayır o,13814
onu ben,13777
bir zaman,13756
bunu yapma,13740
ne bu,13690
bir tek,13669
etmek istiyorum,13554
bana da,13538
buraya kadar,13502
yanlış bir,13501
bir an,13493
hey sen,13475
o burada,13432
ki hayır,13420
ve onu,13404
saat kaç,13399
var orada,13288
dur bakalım,13199
ben öyle,13192
bunu ben,13153
nasıl olur,13151
gel bakalım,13119
benden ne,13118
mı yapıyorsun,13060
orada mısın,13037
bunu biliyorsun,13032
pek çok,12995
bu daha,12981
mi oldu,12966
ne iş,12847
bu şey,12784
misin sen,12779
hayır yok,12757
kadar güzel,12751
sanırım bu,12747
hoş bir,12723
olduğunu söyledi,12625
ne yani,12603
olmak için,12600
bize yardım,12565
sen burada,12534
mı var,12533
burada bekle,12492
evet benim,12488
de değil,12430
şimdi olmaz,12414
bunun bir,12387
şu işi,12366
gerçekten de,12353
geliyor musun,12348
onun gibi,12316
de onu,12308
evet bir,12288
olduğunu söyle,12267
evet tamam,12229
yapmak zorunda,12215
evet var,12204
ne yapmak,12199
çünkü ben,12163
seni bir,12156
burası benim,12105
ama artık,12092
falan yok,12080
oluyor burada,12044
peki tamam,12028
ama neden,12015
kabul ediyorum,12001
bu kim,11979
değil misin,11949
bence bu,11946
bütün gün,11936
son bir,11932
o kim,11919
aynı şeyi,11894
ilgili bir,11875
var burada,11857
ben bu,11855
peki sen,11844
ne senin,11831
biliyorum biliyorum,11829
kaç tane,11804
hayır sen,11744
kim söyledi,11736
seni de,11676
hayır lütfen,11636
bu sana,11575
onu geri,11567
da kötü,11556
belki bir,11541
bilmiyorum ama,11508
diye bir,11505
hiçbir şeyi,11502
peki o,11499
ha ha,11497
ne işi,11497
evet ne,11490
hiç iyi,11485
neden beni,11451
onu da,11437
bana mı,11431
bunu biliyorum,11409
şu ki,11398
ki bu,11384
bu beni,11384
bana bunu,11381
de var,11359
kötü değil,11330
neler oldu,11323
gidelim buradan,11321
bunu mu,11317
olabilir mi,11289
ben bunu,11263
ben çok,11253
hakkında bir,11222
o nerede,11200
olan ne,11197
en güzel,11192
ben burada,11166
tabii ya,11164
ne biliyor,11163
peki bu,11152
çok az,11128
o adam,11122
bunu da,11120
git ve,11082
ver onu,11065
aynı şey,11019
bekle biraz,10982
bütün gece,10965
lütfen bana,10895
sen çok,10893
benim bir,10890
sen beni,10881
ne mi,10834
da öyle,10828
biri mi,10804
söz ver,10765
gidelim mi,10744
olarak ne,10726
olmaz mı,10722
de aynı,10712
sanırım öyle,10709
al şunu,10699
değil ama,10634
daha asla,10616
hayır sorun,10523
hayır hiç,10499
bana öyle,10482
olduğunu mu,10480
için iyi,10467
böyle şeyler,10424
nasıl olduğunu,10420
her an,10417
devam ediyor,10391
bu biraz,10389
olabilir ki,10387
biraz zaman,10361
orada bir,10342
olduğunu biliyorsun,10302
hemen şimdi,10298
ama yine,10260
bir yıl,10250
onlar da,10247
lütfen lütfen,10208
