twogram,threegram,frequency
şey yok,bir şey yok,113165
bir şey,bir şey yok,113165
şey var,bir şey var,110455
bir şey,bir şey var,110455
bu da,bu da ne,89463
da ne,bu da ne,89463
bir şey,başka bir şey,75193
başka bir,başka bir şey,75193
hayır hayır,hayır hayır hayır,69443
bir şey,bir şey değil,68498
şey değil,bir şey değil,68498
öyle değil,öyle değil mi,68442
değil mi,öyle değil mi,68442
bir şey,bir şey mi,64933
şey mi,bir şey mi,64933
demek istiyorsun,ne demek istiyorsun,63142
ne demek,ne demek istiyorsun,63142
bir şey,sana bir şey,56713
sana bir,sana bir şey,56713
bir şey,böyle bir şey,51970
böyle bir,böyle bir şey,51970
var mı,şey var mı,42434
şey var,şey var mı,42434
sen iyi,sen iyi misin,42180
iyi misin,sen iyi misin,42180
de seni,ben de seni,41682
ben de,ben de seni,41682
de öyle,ben de öyle,41375
ben de,ben de öyle,41375
teşekkür ederim,çok teşekkür ederim,39985
çok teşekkür,çok teşekkür ederim,39985
daha önce,daha önce hiç,39712
önce hiç,daha önce hiç,39712
için özür,için özür dilerim,36255
özür dilerim,için özür dilerim,36255
iyi bir,daha iyi bir,35136
daha iyi,daha iyi bir,35136
bu kadar,neden bu kadar,34101
neden bu,neden bu kadar,34101
kadar da,o kadar da,33638
o kadar,o kadar da,33638
öyle bir,öyle bir şey,33405
bir şey,öyle bir şey,33405
teşekkür ederim,için teşekkür ederim,31066
için teşekkür,için teşekkür ederim,31066
güzel bir,çok güzel bir,30839
çok güzel,çok güzel bir,30839
hiçbir şey,hiçbir şey yok,30426
şey yok,hiçbir şey yok,30426
bir şey,hiç bir şey,30192
hiç bir,hiç bir şey,30192
çok iyi,çok iyi bir,29751
sen ve,sen ve ben,29751
iyi bir,çok iyi bir,29751
ve ben,sen ve ben,29751
bir tane,bir tane daha,29084
tane daha,bir tane daha,29084
doğru değil,bu doğru değil,27830
bu doğru,bu doğru değil,27830
biliyorsun değil,biliyorsun değil mi,27044
değil mi,biliyorsun değil mi,27044
şey daha,bir şey daha,26750
bir şey,bir şey daha,26750
bir şey,gibi bir şey,26189
gibi bir,gibi bir şey,26189
kez daha,bir kez daha,26049
bir kez,bir kez daha,26049
iki üç,bir iki üç,26008
bir iki,bir iki üç,26008
mu var,sorun mu var,25947
sorun mu,sorun mu var,25947
ne demek,da ne demek,25719
da ne,da ne demek,25719
biliyor musun,olduğunu biliyor musun,25713
olduğunu biliyor,olduğunu biliyor musun,25713
çok özür,çok özür dilerim,24958
özür dilerim,çok özür dilerim,24958
ama yine,ama yine de,24833
yine de,ama yine de,24833
bir sorun,bir sorun mu,23012
sorun mu,bir sorun mu,23012
yok bir,yok bir şey,22514
bir şey,yok bir şey,22514
ne yapıyorsun,burada ne yapıyorsun,22360
burada ne,burada ne yapıyorsun,22360
gereken bir,gereken bir şey,22212
bir şey,gereken bir şey,22212
daha önce,daha önce de,21498
önce de,daha önce de,21498
bir daha,bir daha asla,20897
daha asla,bir daha asla,20897
o zaman,tamam o zaman,20129
tamam o,tamam o zaman,20129
iyi bir,bu iyi bir,20057
bu iyi,bu iyi bir,20057
bu kadar,bu kadar mı,20046
kadar mı,bu kadar mı,20046
için bir,benim için bir,19252
benim için,benim için bir,19252
önemli bir,önemli bir şey,19011
bir şey,önemli bir şey,19011
için sağ,için sağ ol,18926
sağ ol,için sağ ol,18926
ne kadar,ne kadar da,18799
kadar da,ne kadar da,18799
da ne,o da ne,18569
o da,o da ne,18569
hem de,hem de çok,18245
de çok,hem de çok,18245
güzel değil,güzel değil mi,17883
değil mi,güzel değil mi,17883
seni seviyorum,de seni seviyorum,17578
de seni,de seni seviyorum,17578
yok mu,kimse yok mu,17575
kimse yok,kimse yok mu,17575
uzun zaman,uzun zaman oldu,17432
zaman oldu,uzun zaman oldu,17432
ne demek,ne demek oluyor,17346
demek oluyor,ne demek oluyor,17346
kimse var,kimse var mı,17343
var mı,kimse var mı,17343
tam olarak,tam olarak ne,17185
olarak ne,tam olarak ne,17185
ve ben,ve ben de,17113
ben de,ve ben de,17113
evet ben,evet ben de,16980
ben de,evet ben de,16980
diye bir,diye bir şey,16844
bir şey,diye bir şey,16844
dur bir,dur bir dakika,16714
bir dakika,dur bir dakika,16714
değil mi,yok değil mi,16604
yok değil,yok değil mi,16604
kötü bir,kötü bir şey,16451
bir şey,kötü bir şey,16451
ne kadar,daha ne kadar,16450
daha ne,daha ne kadar,16450
daha iyi,daha iyi olur,16365
iyi olur,daha iyi olur,16365
çok büyük,çok büyük bir,16228
büyük bir,çok büyük bir,16228
çok daha,çok daha iyi,16197
daha iyi,çok daha iyi,16197
ya sen,peki ya sen,16151
peki ya,peki ya sen,16151
iyi bir,iyi bir şey,16038
bir şey,iyi bir şey,16038
bu ne,bu ne demek,16028
ne demek,bu ne demek,16028
ve sen,ve sen de,15688
sen de,ve sen de,15688
son ne,en son ne,15657
en son,en son ne,15657
değil mi,var değil mi,15495
yapıyorsun sen,ne yapıyorsun sen,15477
ne yapıyorsun,ne yapıyorsun sen,15477
bunu daha,bunu daha önce,15310
daha önce,bunu daha önce,15310
son ne,son ne zaman,15200
ne zaman,son ne zaman,15200
senin için,senin için bir,15195
için bir,senin için bir,15195
bekle bir,bekle bir dakika,15128
bir dakika,bekle bir dakika,15128
yardım et,bana yardım et,15031
bana yardım,bana yardım et,15031
bu kadar,hepsi bu kadar,14986
hepsi bu,hepsi bu kadar,14986
bir sorun,bir sorun var,14834
sorun var,bir sorun var,14834
da ne,da ne böyle,14812
ne böyle,da ne böyle,14812
bir şey,bana bir şey,14647
bana bir,bana bir şey,14647
bu senin,bu senin için,14476
senin için,bu senin için,14476
bir şey,yanlış bir şey,14428
yanlış bir,yanlış bir şey,14428
o zaman,o zaman neden,14356
zaman neden,o zaman neden,14356
ben bir,ben bir şey,14274
bir şey,ben bir şey,14274
bir şeyler,bir şeyler var,14213
şeyler var,bir şeyler var,14213
bir şey,için bir şey,13983
için bir,için bir şey,13983
bu çok,bu çok güzel,13781
çok güzel,bu çok güzel,13781
uzun zaman,uzun zaman önce,13706
zaman önce,uzun zaman önce,13706
biliyor musun,ne biliyor musun,13581
ne biliyor,ne biliyor musun,13581
de bir,ben de bir,13571
ben de,ben de bir,13571
bu doğru,bu doğru mu,13259
doğru mu,bu doğru mu,13259
çok kötü,çok kötü bir,13205
kötü bir,çok kötü bir,13205
ne kadar,ne kadar güzel,13166
kadar güzel,ne kadar güzel,13166
bir şey,bir şey olmaz,13087
şey olmaz,bir şey olmaz,13087
bu da,ve bu da,12944
ve bu,ve bu da,12944
kadar çok,o kadar çok,12920
o kadar,o kadar çok,12920
her şey,her şey için,12912
şey için,her şey için,12912
bu kadar,bu kadar çok,12879
kadar çok,bu kadar çok,12879
yüzden mi,bu yüzden mi,12806
bu yüzden,bu yüzden mi,12806
için her,için her şeyi,12789
her şeyi,için her şeyi,12789
şimdi ne,şimdi ne olacak,12749
ne olacak,şimdi ne olacak,12749
hiç bu,hiç bu kadar,12725
bu kadar,hiç bu kadar,12725
nasıl bu,nasıl bu kadar,12643
bu kadar,nasıl bu kadar,12643
için çok,benim için çok,12593
benim için,benim için çok,12593
işi var,ne işi var,12583
ne işi,ne işi var,12583
daha var,şey daha var,12524
şey daha,şey daha var,12524
sadece bir,bu sadece bir,12497
bu sadece,bu sadece bir,12497
ne demek,ne demek bu,12463
demek bu,ne demek bu,12463
şey oldu,bir şey oldu,12284
bir şey,bir şey oldu,12284
şey var,çok şey var,12269
çok şey,çok şey var,12269
bir an,bir an önce,12191
ne kadar,için ne kadar,11981
için ne,için ne kadar,11981
şey mi,şey mi var,11918
mi var,şey mi var,11918
