threegram,fourgram,frequency
bir şey var,bir şey var mı,41773
şey var mı,bir şey var mı,41773
bir sorun mu,bir sorun mu var,21423
sorun mu var,bir sorun mu var,21423
de seni seviyorum,ben de seni seviyorum,17338
ben de seni,ben de seni seviyorum,17338
da ne demek,bu da ne demek,16884
bu da ne,bu da ne demek,16884
gereken bir şey,gereken bir şey var,15683
bir şey var,gereken bir şey var,15683
son ne zaman,en son ne zaman,15141
en son ne,en son ne zaman,15141
başka bir şey,başka bir şey var,12619
bir şey var,başka bir şey var,12619
bir şey daha,bir şey daha var,12185
şey daha var,bir şey daha var,12185
da ne böyle,bu da ne böyle,12110
bu da ne,bu da ne böyle,12110
hayır hayır hayır,hayır hayır hayır hayır,11959
şey mi var,bir şey mi var,11834
bir şey mi,bir şey mi var,11834
o kadar da,o kadar da kötü,10198
kadar da kötü,o kadar da kötü,10198
bir şey mi,bir şey mi oldu,9845
şey mi oldu,bir şey mi oldu,9845
ne var ne,ne var ne yok,9276
var ne yok,ne var ne yok,9276
ne var biliyor,ne var biliyor musun,8447
var biliyor musun,ne var biliyor musun,8447
ne olduğunu biliyor,ne olduğunu biliyor musun,7923
olduğunu biliyor musun,ne olduğunu biliyor musun,7923
ne demek oluyor,da ne demek oluyor,6726
da ne demek,da ne demek oluyor,6726
bir şey değil,önemli bir şey değil,6650
önemli bir şey,önemli bir şey değil,6650
bir şey yok,diye bir şey yok,6532
diye bir şey,diye bir şey yok,6532
başka bir şey,başka bir şey yok,5895
bir şey yok,başka bir şey yok,5895
iyi bir şey,bu iyi bir şey,5753
bu iyi bir,bu iyi bir şey,5753
ne işi var,burada ne işi var,5689
burada ne işi,burada ne işi var,5689
öyle değil mi,de öyle değil mi,5379
de öyle değil,de öyle değil mi,5379
neden böyle bir,neden böyle bir şey,5310
böyle bir şey,neden böyle bir şey,5310
ne demek oluyor,bu ne demek oluyor,5151
bu ne demek,bu ne demek oluyor,5151
bir şey değil,bir şey değil mi,5080
şey değil mi,bir şey değil mi,5080
olduğunu biliyor musun,nerede olduğunu biliyor musun,5037
nerede olduğunu biliyor,nerede olduğunu biliyor musun,5037
çok güzel değil,çok güzel değil mi,5026
güzel değil mi,çok güzel değil mi,5026
bir şey yok,bir şey yok mu,5016
şey yok mu,bir şey yok mu,5016
bir şey ister,bir şey ister misin,4923
şey ister misin,bir şey ister misin,4923
sen ve ben,sadece sen ve ben,4868
sadece sen ve,sadece sen ve ben,4868
gibi bir şey,onun gibi bir şey,4780
onun gibi bir,onun gibi bir şey,4780
kadar da kötü,kadar da kötü değil,4742
da kötü değil,kadar da kötü değil,4742
için bir şey,benim için bir şey,4714
benim için bir,benim için bir şey,4714
önce hiç böyle,daha önce hiç böyle,4183
daha önce hiç,daha önce hiç böyle,4183
bir şey değil,başka bir şey değil,4179
başka bir şey,başka bir şey değil,4179
görmek çok güzel,seni görmek çok güzel,4175
seni görmek çok,seni görmek çok güzel,4175
böyle bir şey,hiç böyle bir şey,4098
hiç böyle bir,hiç böyle bir şey,4098
görmek ne güzel,seni görmek ne güzel,4052
seni görmek ne,seni görmek ne güzel,4052
bir şey mi,yanlış bir şey mi,3948
yanlış bir şey,yanlış bir şey mi,3948
bir şey söyledi,bir şey söyledi mi,3902
şey söyledi mi,bir şey söyledi mi,3902
hiç iyi değil,bu hiç iyi değil,3832
bu hiç iyi,bu hiç iyi değil,3832
bunu daha önce,bunu daha önce de,3803
daha önce de,bunu daha önce de,3803
için çok teşekkür,için çok teşekkür ederim,3598
çok teşekkür ederim,için çok teşekkür ederim,3598
kim olduğunu biliyor,kim olduğunu biliyor musun,3552
olduğunu biliyor musun,kim olduğunu biliyor musun,3552
bir şey olduğunu,nasıl bir şey olduğunu,3521
nasıl bir şey,nasıl bir şey olduğunu,3521
ya da böyle,öyle ya da böyle,3468
