lemma_en_translate,object_id,names,image_id,attributes,synsets,height,width,x_koor,y_koor
do,4494249,word,2389438,do,,28,45,298,117
do,1213447,sticker,2394195,do not,gummed_label.n.01,60,49,197,43
do,1710214,walk signal,2361923,do not,,20,10,411,171
do,4047458,signal,2338739,do no walk,,97,27,203,249
do,1779577,aircraft,2349775,do landing,aircraft.n.01,12,32,346,207
do,2800901,sign,2358398,do not walk,sign.n.02,17,10,424,287
do,2810750,sign,2331529,do not walk,sign.n.02,37,22,390,118
do,1125282,traffic light,2403379,do not walk,traffic_light.n.01,10,71,130,153
do,1924660,sign,2354306,do not walk,sign.n.02,65,75,221,263
do,1293783,sign,2385705,do not walk,sign.n.02,19,21,23,117
do,1940980,signal,1592874,do not walk,signal.n.01,29,48,720,520
do,1605359,sign,1591935,do no enter,sign.n.02,16,10,85,633
do,4557363,sign,3982,do not walk,,87,62,2,136
do,3850055,sign,2374110,do not walk,sign.n.02,61,58,378,78
do,2051667,sign,2371232,do not park,sign.n.02,50,77,103,416
do,707510,signal,2381083,do not walk,signal.n.01,14,11,442,174
do,639145,sign,2364760,do not walk,sign.n.02,26,18,47,232
do,2235048,signal,2360127,do not walk,signal.n.01,28,18,373,9
do,2568630,sign,2363043,do not walk,sign.n.02,78,83,150,125
do,3371505,lines,2369518,do not pass,line.n.01,107,170,0,287
do,2673789,sign,2365414,do not cross,sign.n.02,28,20,477,186
do,3024829,sign,2335381,do not enter,sign.n.02,33,32,320,282
do,4620749,sign,2335630,do not enter,,18,21,141,309
do,2543287,sign,2360868,do not enter,sign.n.02,32,33,170,285
do,4618853,sign,2335683,do not enter,,22,20,368,283
do,2573409,sign,2356498,do not cross,sign.n.02,31,16,266,375
do,2596100,sign,2337500,do not enter,sign.n.02,63,209,220,189
do,2149804,sign,2337500,do not enter,sign.n.02,30,17,194,249
do,2670780,sign,2354747,do not enter,sign.n.02,12,10,452,162
do,2742604,sign,2342575,do not enter,sign.n.02,67,143,182,264
do,1847202,sign,2364691,do not enter,sign.n.02,80,72,210,170
do,3478055,sign,2347074,do not enter,sign.n.02,72,85,165,136
do,1842475,sign,2356742,do not enter,sign.n.02,27,27,414,224
do,2714206,sign,2347074,do not enter,sign.n.02,40,39,191,150
do,1216134,sign,2393855,do not enter,sign.n.02,23,21,26,220
do,2162665,signal,2363043,do not cross,signal.n.01,89,79,152,121
do,2185577,sign,2374925,do not enter,sign.n.02,81,97,376,41
do,1534786,sign,108,do not enter,sign.n.02,19,19,358,271
do,425530,sign,2398422,do not enter,sign.n.02,15,13,480,237
do,1534788,sign,108,do not enter,sign.n.02,20,20,360,274
do,1634886,sign,304,do not enter,sign.n.02,48,35,214,402
do,1634887,sign,304,do not enter,sign.n.02,41,28,334,316
do,1642542,sign,1634,do not enter,sign.n.02,114,74,202,150
do,1709838,sign,1641,do not enter,sign.n.02,109,106,622,129
do,2117783,sign,1647,do not enter,sign.n.02,42,45,434,277
do,4314315,sign,1649,do not enter,,190,170,391,63
do,4539503,crosswalk light,2403,do not cross,,21,16,232,295
do,4105087,sign,2323146,do not enter,,17,18,212,248
do,1100027,sign,2406873,do not enter,sign.n.02,27,23,388,247
do,4612162,sign,2335872,do not enter,,86,18,19,116
owner,927671,"person , man",2343060,owner,person.n.01,69,29,471,65
owner,3862290,website,2369678,of owner,web_site.n.01,17,98,374,297
owner,3978792,business logo,2326758,photograph owner,,43,117,245,455
owner,242547,'turkerworker,2409401,owner of same ring,,5,2,331,0
owner,3586532,identification,2351880,of photgraph owner,designation.n.03,48,98,400,283
owner,1131094,"lady , person , girl , woman",2402838,"holding bag , owner of the leg",woman.n.01,178,50,145,117
owner,3978170,mark,2326808,photograph owner identification,,10,102,1,450
owner,502496,man,2389793,"peaceful , sitting , owner , watching",man.n.01,117,69,187,194
owner,863774,bus,2351007,"transporting , carrying , on its way , going , picked , leaving , dark , owned , traveling , arrived , gray , owner , white , back",bus.n.01,253,458,8,33
information,1628346,board,1714,information,board.n.02,102,81,65,339
information,3871530,pieces,2367931,information,piece.n.01,68,86,67,71
information,3738904,center,2364428,information,center.n.01,36,119,129,182
information,2688375,plaque,2363239,information,plaque.n.01,65,112,190,285
information,771024,card,2362800,information,card.n.01,53,28,256,84
