word_en_translate,object_id,names,image_id,synsets,merged_object_ids,height,width,x_koor,y_koor
do,3617319,do,2317891,bash.n.02,3497687,21,14,376,263
do,999220,do,2319741,bash.n.02,,66,46,251,144
do,3379494,do,2320586,bash.n.02,,21,28,219,90
do,3918774,do,2342575,,"3459293 , 3411544",23,36,207,293
do,328380,do,2405891,bash.n.02,"328381 , 328343 , 328392",12,11,227,158
do,635723,do,2365231,bash.n.02,,37,36,243,198
do,1135472,do,2402486,bash.n.02,,15,15,135,68
do,3829684,do,2388016,bash.n.02,,17,14,177,166
do,217023,do not,2410460,,,20,21,294,201
do,2641618,word do,2377076,word.n.01,,20,32,0,95
do,781446,do not walk,2361509,,,21,15,262,360
do,600435,do not walk,2370999,,"600455 , 600434",23,14,313,206
do,695569,do not walk,2382873,,,14,10,34,207
do,1068331,do not enter,1942,,,120,22,465,176
do,1038055,do not board,150294,board.n.02,,17,34,447,354
do,932197,do not enter,2342633,,,17,16,429,200
do,779731,do not enter,2361752,,,46,53,162,187
do,779339,do not enter,2361805,,,64,32,206,305
do,1340183,do not enter,2381014,,,10,8,447,172
do,1130664,do not enter,2402871,,,25,26,313,114
do,570302,do not block,2376710,,,48,17,483,201
do,600425,do not enter,2370999,,600424,24,30,431,202
do,684137,do not enter,2386050,,,135,157,230,92
do,1135479,do not sit here,2402486,,,21,77,135,62
do,1334229,do not walk sign,2381758,sign.n.02,,27,14,486,70
do,1104101,do not block sign,2406072,sign.n.02,,23,19,305,185
do,1315114,do not enter sign,2383943,sign.n.02,,24,23,452,131
do,324427,do not enter sign,2406433,sign.n.02,,12,8,439,144
do,1315110,do not enter sign,2383943,sign.n.02,,23,24,298,134
do,1232795,do not enter sign,2392208,sign.n.02,,16,19,64,289
do,1311222,do not enter sign,2384302,sign.n.02,,53,50,178,210
do,1015215,do no fall in love,2318014,"fall.n.01 , love.n.01",1015207,142,146,88,168
do,1101471,do not enter  sign,2406518,sign.n.02,,17,17,55,246
owner,317211,owner,2411056,owner.n.01,317204,55,51,180,15
owner,2589219,owner,2339017,owner.n.01,,22,127,204,478
owner,2540802,owner,2343433,owner.n.01,,80,21,389,47
owner,3914284,owner,2344677,,"2978339 , 3455070 , 2632000 , 2351338 , 3914294 , 3914289",375,266,234,0
