word_en_translate,image_id,questions,que_and_anw_id,answers
do,2403084,what is the first word on the sign,1275002,do
do,2367872,what is the woman s hair doing,1790330,up do
do,107975,what is the woman s book about,996929,su do ku
do,2413935,how do you know where he is surfing,144907,you do not
do,2365231,what does the man s shirt say,1737588,do the dew
do,2376616,why is the hairdryer out,1970342,to do hair
do,2399541,why is the computer open,283406,to do work
do,2409345,why are the yellow x s on the road,181627,do not park
do,2371672,what does the traffic light show,1868548,do not walk
do,2358576,what do the black letters read,1603626,do not pass
do,2411136,what does the sign say about zombie,167300,do not feed
do,2367860,what does sign say,1790036,do not walk
do,2366715,what does the sign with the red hand symbolize,502201,do not walk
do,2383470,what does the symbol on screen on pole direct a person to do,680668,do not walk
do,150470,what are the words on the sign on the right,1005002,do not pass
do,150470,what does the traffic sign say,1004941,do not pass
do,2398486,what does red circle with cross mean,1463995,do not park
do,2412090,what does the bottom light mean,159669,do not walk
do,2392381,what is the sign for,288719,do not enter
do,2391793,how does lok nicht betreten on the sign translate,1364739,do not enter
do,2390918,what does the street sign mean,1487691,do not enter
do,2368478,what does the sign say,1803525,do not enter
do,2368478,what does the sign read,372852,do not enter
do,2390776,what does the sign say that means cars can t drive in there,1550837,do not enter
do,2371494,what sign is underneath the street sign on the left,1864867,do not enter
do,2384602,what does the red and white sign say,231971,do not enter
do,2383943,what is the sign beside the parked vehicle,232494,do not enter
do,2377453,why is the man on the snowboard,1985292,to do stunts
do,2371232,what sign board is seen,562568,do not enter
do,2377840,why is a cat in the suitcase,306480,cats do that
do,2366001,what does iwords say,1752736,do not enter
do,2366001,what does it say on the ground,311209,do not enter
do,2413401,what sign is to the left of the bus,1147591,do not enter
do,2318258,what does the sign on the right side of the picture say,910289,do not enter
do,2321659,what sign is on the telephone pole,883076,do not enter
do,2323765,what phrase is on the middle lunchbox,866231,we can do it
do,2326383,what does the sign say at the corner,278152,do not enter
do,2327380,what is the sign written,341729,do not enter
do,2328475,why the man is leaning down,532797,to do tricks
do,2330915,what sign can be seen,530845,do not enter
do,2332172,what does the sign mean,593749,do not enter
do,2366576,what traffic sign is shown in the picture,1764444,do not enter
do,2358274,what is the red and white sign,1597274,do not enter
do,2358274,what is on the left sign,508960,do not enter
do,2361752,what does the red and white sign say,1667955,do not enter
do,2361752,what is the red and white sign,570151,do not enter
do,2362295,why is the man in the air,1678325,to do tricks
