word_en_translate,image_id,obj_names,obj_object_id,obj_synsets,obj_merged_object_ids,obj_height,obj_width,obj_x_koor,obj_y_koor,relationships_id,synsets,sub_name,sub_object_id,sub_synsets,sub_height,sub_width,sub_x_koor,sub_y_koor,predicate
do,2405891,do,328380,bash.n.02,"328381 , 328343 , 328392",12,11,227,158,511767,not.r.01,do,328380,bash.n.02,12,11,227,158,not
do,2402486,,1135469,sign.n.02,,79,108,123,42,3274620,along.r.01,do,1135472,bash.n.02,15,21,130,68,on
do,2389064,,507073,sofa.n.01,,176,415,37,109,1203350,put.v.01,do,507070,bash.n.02,86,180,262,166,laying
do,2388016,,1271100,,,38,19,389,191,4293050,not.r.01,do,3829684,bash.n.02,64,86,196,152,not
do,2320586,,3379495,,,20,35,258,90,3862722,in.r.01,do,3379494,bash.n.02,25,29,215,87,in front of
do,2319741,,999187,road.n.01,,58,76,235,117,2982232,run.v.01,do,999220,bash.n.02,90,84,234,120,running
do,2410460,,216987,sign.n.02,,140,180,148,90,216650,enter.v.01,do not,217023,,20,21,294,201,enter
do,2361509,,781454,pole.n.01,,406,20,244,94,2147918,along.r.01,do not walk,781446,,23,15,262,358,on
do,2402486,,1135469,sign.n.02,,79,108,123,42,3274629,along.r.01,do not sit here,1135479,,25,82,131,60,on
do,2406518,,1101472,pole.n.01,,207,17,59,131,3233243,along.r.01,do not enter sign,1101471,sign.n.02,17,20,55,246,on
do,2406433,,324412,building.n.01,,184,343,157,2,490845,by.r.01,do not enter sign,324427,sign.n.02,17,13,438,141,by
do,2384302,,1311235,pole.n.01,,69,12,197,262,3556693,along.r.01,do not enter sign,1311222,sign.n.02,53,50,178,210,on
do,2384302,,1311224,pole.n.01,,239,22,227,92,3556694,be.v.01,do not enter sign,1311222,sign.n.02,53,50,178,210,next to
do,2383943,,1315128,car.n.01,,51,302,82,263,3562464,be.v.01,do not enter sign,1315110,sign.n.02,25,22,299,132,above
do,2406518,,1101472,pole.n.01,,207,17,59,131,3233234,along.r.01,do not enter  sign,1101471,sign.n.02,17,20,55,246,on
owner,2411056,,317185,cat.n.01,,291,423,77,12,454290,,owner,317211,owner.n.01,57,49,181,12,of
owner,2405945,,1105209,dog.n.01,,227,233,0,147,3238050,,owner,1105208,owner.n.01,62,169,302,92,of
owner,2395889,,449905,dog.n.01,,11,18,428,27,999586,subsequently.r.01,owner,449908,owner.n.01,39,21,471,4,running after
owner,2369411,,611595,hand.n.01,,77,104,3,187,1567555,have.v.01,owner,611611,owner.n.01,138,324,0,192,has
owner,2356027,,824343,corner.n.01,,44,196,2,287,2321836,in.r.01,owner,824342,owner.n.01,26,174,2,292,in
owner,2354114,,3778229,cap.n.01,,12,14,270,144,4230392,wear.v.01,owner,3778230,owner.n.01,52,47,262,146,wears
owner,2351053,,3898879,,,195,150,219,50,4407365,,owner,3085260,owner.n.01,25,55,432,305,of
owner,2345637,,2307814,cat.n.01,,267,238,0,63,4429196,,owner,2251466,owner.n.01,330,283,216,0,nuzzling
owner,2344677,,2351339,dog.n.01,,184,265,178,68,4433346,,owner,3914284,,350,256,228,10,holding
owner,2389981,,501174,merchandise.n.01,,56,30,295,214,1176005,be.v.01,shop owner,501173,,96,31,288,177,loading h
information,2025,display,4534500,,"4320804 , 4320789",153,251,0,296,4689813,,information,4320803,,125,232,4,299,in
information,2390433,,1250281,game.n.01,,185,457,14,196,3460317,be.v.01,information,1250308,information.n.01,24,31,60,187,for
information,2389364,,3828698,wall.n.01,,167,192,59,42,4292312,along.r.01,information,3828697,information.n.01,37,36,79,68,on
information,2335950,,2621488,gummed_label.n.01,,290,106,226,208,3974371,along.r.01,information,3096303,information.n.01,20,76,240,456,on
information,2340436,,2506042,bus.n.01,,204,367,71,37,4447286,,information,3922860,,52,70,85,50,printed on
information,2342316,,2155235,sign.n.02,,112,79,255,106,3928721,along.r.01,information,2155239,information.n.01,27,95,207,41,on
information,2343890,,3247260,train.n.01,,316,456,42,7,3897050,along.r.01,information,3635408,information.n.01,120,102,308,110,on
information,2350348,,868737,sign.n.02,,108,288,184,221,4410866,,information,3900932,,100,189,190,230,on
information,2350544,bottle,3716487,bottle.n.01,"3593354 , 3900413 , 2348998",151,64,223,347,3798077,about.r.07,information,1979833,information.n.01,310,305,4,189,about
information,2350688,,866233,card.n.01,,45,58,80,393,4409325,,information,3899938,,26,57,81,399,on
information,2351407,screen,2151631,screen.n.01,2771353,119,119,371,112,4405059,,information,3897540,,108,110,375,117,shown on
information,2351970,,2037981,dais.n.01,,92,216,155,405,3780047,along.r.01,information,2037982,information.n.01,47,200,167,422,on
information,2352372,,1732686,display.n.01,,25,105,68,110,3774818,along.r.01,information,3583769,information.n.01,5,54,91,119,on
information,2357377,paper,1779619,paper.n.01,3041198,162,208,269,14,4218520,along.r.01,information,3041197,information.n.01,169,240,258,12,on
information,2357875,,2283791,device.n.01,,177,125,15,180,4398833,,information,2283790,information.n.01,124,157,110,247,about
information,2360285,,2174561,laptop.n.01,,149,442,56,222,4204356,along.r.01,information,1894178,information.n.01,267,241,0,0,on
information,2363179,,2391310,train.n.01,,197,275,29,51,4176483,about.r.07,information,3746968,information.n.01,35,69,195,183,about
information,2364095,,2429209,,,97,42,260,97,4165987,along.r.01,information,2429211,information.n.01,49,19,270,119,on
information,2385759,,520706,bottom.n.01,,54,489,10,349,1258595,along.r.01,information,520705,information.n.01,17,492,4,382,on
information,2382414,,539303,sign.n.02,,114,90,33,38,1322752,along.r.01,information,539304,information.n.01,84,58,50,51,on
