word_en_translate,image_id,questions,que_and_anw_id,answers
do,2389512,why do this,547971,for fun
do,2347713,who do you see,581362,one person
do,2408495,what do you se,1061211,mane of giraffe
do,2360866,why do you buy,762733,get cuddly heart
do,2401493,who do you see,538380,nobody
do,2375420,who do you see,1945625,two birds
do,2397979,who do you see,1588950,man and a woman
do,2348683,who do you see,260664,a man
do,2393848,when do we eat,608382,now
do,2373833,what will it do,560481,drive
do,2337545,what do you see,845379,a bench
do,2369584,what do you see,1826247,a stop sign
do,2321465,what will it do,884630,fly
do,2319907,what do you see,897090,snow
do,2395825,what do you see,1577805,truck s right front tire
do,2345416,how do they eat,454148,they can reach up and eat the leaves on the trees
do,2417083,what do they do,947816,they fly
do,2411685,what do they do,162909,graze and mate
do,2321004,what do you see,888321,elephants
do,2379372,what do bags do,556062,hold smaller objects
do,2333083,what does it do,272971,it flies
do,2415396,what do you see,934314,fruit
do,2380297,how do cows eat,427290,chewing
do,2373961,what do you see,1916983,looking at two horses
do,2395404,what did man do,1575709,injure self
do,2401629,what do you see,1247903,whole body of parakeet
do,2396845,what do you see,797938,a girl on the phone
do,2380406,what do you see,747098,a jet
do,2360329,what do you see,635188,a bus
do,2369235,what do you see,1819105,beach chairs and umbrellas
do,2392332,when do you ski,545715,winter
do,2402886,what do you see,1270743,back of the train
do,2410476,what did man do,1110543,jumped in air
do,2347407,what will he do,773490,surf
do,2359902,what do you see,1630598,a dirty bathroom toilet
do,2320116,what do you see,895422,a truck
do,2368101,how do jets fly,1795199,with a pilot
do,2350875,what do they eat,514873,fish
do,2392332,where do you ski,545716,mountain
do,2362540,how do birds fly,1683248,wings
do,2403982,what do cows eat,216468,grass
do,2411841,what do they eat,161658,grasses
do,2389759,where do you see,1353671,on the racer s back
do,2395839,what do cows eat,350958,hay
do,2368136,what do you ride,1795919,a bike
do,2402211,why do they walk,665671,to get somewhere
do,2340908,where do you see,650717,on the fire hydrant
do,2326938,what do cows eat,406083,grass
do,2414949,how do you clean,136804,wipe with a cloth
do,2352602,when do you stop,257538,at sign
owner,2398449,how is the owner,1525506,sleep
owner,2400733,who is the owner,1228487,colin mcsweeney
owner,2397789,where is the owner,605224,in the house
owner,2358997,where is the owner,1612977,there is no one in the photo
