search_string,start_time,end_time,sentence,video_id,video_url
mesmo se você não for cliente vale a pena acompanhar esse vídeo para ver o quanto muda uma empresa ter um sistema próprio uma equipe própria ao invés de pegar uma plataforma já pronta no mercado e vender como nossa,51,77,mesmo se você não for cliente vale a pena acompanhar esse vídeo para ver o quanto muda uma empresa ter um sistema próprio uma equipe própria ao invés de pegar uma plataforma já pronta no mercado e vender como nossa,MZrSIz9MUo4,https://www.youtube.com/watch?v=MZrSIz9MUo4&t=51s
a vida que tu tens levado é absolutamente mérito teu seja pelas tuas ações conscientes ou inconscientes pela qualidade de teus pensamentos dos teus comportamentos e das tuas palavras,136,146,a vida que tu tens levado é absolutamente mérito teu seja pelas tuas ações conscientes ou inconscientes pela qualidade de teus pensamentos dos teus comportamentos e das tuas palavras,BampggOg28o,https://www.youtube.com/watch?v=BampggOg28o&t=136s
agora eu acho que você está bem preparada pra conhecer a cidade né mas se ficou alguma dúvida não deixe de colocar aqui nos comentários que a gente ajuda beleza um beijo grande,840,848,agora eu acho que você está bem preparada pra conhecer a cidade né mas se ficou alguma dúvida não deixe de colocar aqui nos comentários que a gente ajuda beleza um beijo grande,vwJq3pwexqc,https://www.youtube.com/watch?v=vwJq3pwexqc&t=840s
louie exatamente então acho que é importante a gente ter esse tipo de consciência dos nossos privilégios eu penso muito sobre isso por ser uma mulher branca por exemplo,439,446,louie exatamente então acho que é importante a gente ter esse tipo de consciência dos nossos privilégios eu penso muito sobre isso por ser uma mulher branca por exemplo,mAHS9bghaLE,https://www.youtube.com/watch?v=mAHS9bghaLE&t=439s
neste caso eu vou à empresa contrato uma pessoa para se fazer passar por exemplo por minha companheira ou companheiro e vai estar durante um casamento de família comigo,40,48,neste caso eu vou à empresa contrato uma pessoa para se fazer passar por exemplo por minha companheira ou companheiro e vai estar durante um casamento de família comigo,fvtbRqPsTtQ,https://www.youtube.com/watch?v=fvtbRqPsTtQ&t=40s
a linguagem de programação é uma ferramenta básica quando você consegue resolver uma questão numa camada cada vez mais básica todas as outras camadas vão tirar,262,275,a linguagem de programação é uma ferramenta básica quando você consegue resolver uma questão numa camada cada vez mais básica todas as outras camadas vão tirar,QqDQ37pGmrQ,https://www.youtube.com/watch?v=QqDQ37pGmrQ&t=262s
proveito automaticamente então a ideia é que se eu conseguir resolver isso na camada de linguagem de programação automaticamente as aplicações finais sistemas,274,286,proveito automaticamente então a ideia é que se eu conseguir resolver isso na camada de linguagem de programação automaticamente as aplicações finais sistemas,QqDQ37pGmrQ,https://www.youtube.com/watch?v=QqDQ37pGmrQ&t=274s
se fazendo entender isso é um problema seu principalmente enquanto comunicador e falando de comunicador não necessariamente gente que produz comunicação seja,422,432,se fazendo entender isso é um problema seu principalmente enquanto comunicador e falando de comunicador não necessariamente gente que produz comunicação seja,xzub0VjnwJ4,https://www.youtube.com/watch?v=xzub0VjnwJ4&t=422s
acredite é muito melhor e mais fácil participar no momento da assembleia do que querer anular algo que tenha sido aprovado sem sua presença por via judicial,102,109,acredite é muito melhor e mais fácil participar no momento da assembleia do que querer anular algo que tenha sido aprovado sem sua presença por via judicial,bgA5g4rpvs4,https://www.youtube.com/watch?v=bgA5g4rpvs4&t=102s
então transformar aquele momento da alimentação um momento de família pra criança também observar seu prato ver suas referências pode ser muito importante,199,208,então transformar aquele momento da alimentação um momento de família pra criança também observar seu prato ver suas referências pode ser muito importante,oCRrqquJJfo,https://www.youtube.com/watch?v=oCRrqquJJfo&t=199s
