sentence,frequency,code
evet,1948596,G1-L4-F1948596-0
hayır,1250401,G1-L5-F1250401-2
tamam,882921,G1-L5-F882921-3
ne,753105,G1-L2-F753105-4
teşekkürler,343527,G1-L11-F343527-5
merhaba,312804,G1-L7-F312804-6
hadi,297989,G1-L4-F297989-7
bilmiyorum,261597,G1-L10-F261597-8
neden,257009,G1-L5-F257009-9
teşekkür ederim,244149,G2-L15-F244149-10
tanrım,242586,G1-L6-F242586-11
hey,219491,G1-L3-F219491-12
öyle mi,209900,G2-L7-F209900-13
güzel,198009,G1-L5-F198009-14
ne oldu,195799,G2-L7-F195799-15
biliyorum,192289,G1-L9-F192289-16
aman tanrım,189521,G2-L11-F189521-17
selam,188845,G1-L5-F188845-18
lütfen,180984,G1-L6-F180984-19
üzgünüm,179254,G1-L7-F179254-20
peki,164478,G1-L4-F164478-21
harika,163862,G1-L6-F163862-22
pekala,159521,G1-L6-F159521-23
haydi,155726,G1-L5-F155726-24
özür dilerim,153784,G2-L12-F153784-26
ne yapıyorsun,140797,G2-L13-F140797-28
gerçekten mi,137106,G2-L12-F137106-29
dur,135803,G1-L3-F135803-30
tamam mı,134129,G2-L8-F134129-31
lanet olsun,130834,G2-L11-F130834-32
ben,130502,G1-L3-F130502-33
gidelim,123655,G1-L7-F123655-35
doğru,122220,G1-L5-F122220-36
bekle,118400,G1-L5-F118400-37
baba,117643,G1-L4-F117643-38
elbette,117321,G1-L7-F117321-39
hayır hayır,114120,G2-L11-F114120-40
anne,113104,G1-L4-F113104-41
efendim,100713,G1-L7-F100713-42
neler oluyor,100618,G2-L12-F100618-43
tabii,89846,G1-L5-F89846-46
evet efendim,86185,G2-L12-F86185-47
kesinlikle,81352,G1-L10-F81352-48
sorun değil,79391,G2-L11-F79391-50
bak,77485,G1-L3-F77485-51
sen,71046,G1-L3-F71046-53
seni seviyorum,69417,G2-L14-F69417-54
oh,65545,G1-L2-F65545-60
sağ ol,64613,G2-L6-F64613-62
ne var,62532,G2-L6-F62532-65
çok güzel,61809,G2-L9-F61809-66
yapma,61650,G1-L5-F61650-67
nerede,61256,G1-L6-F61256-68
nasıl,60658,G1-L5-F60658-71
ben de,59972,G2-L6-F59972-73
değil mi,58386,G2-L8-F58386-76
yani,57896,G1-L4-F57896-77
emin misin,56835,G2-L10-F56835-78
ne demek istiyorsun,55905,G3-L19-F55905-80
olmaz,54069,G1-L5-F54069-84
önemli değil,53246,G2-L12-F53246-86
hiçbir şey,52685,G2-L10-F52685-87
hadi ama,52367,G2-L8-F52367-88
bir dakika,51838,G2-L10-F51838-89
şimdi,51284,G1-L5-F51284-90
bu da ne,50098,G3-L8-F50098-91
devam et,49702,G2-L8-F49702-94
buraya gel,48842,G2-L10-F48842-95
hadi gidelim,48283,G2-L12-F48283-96
git,48256,G1-L3-F48256-97
dinle,45681,G1-L5-F45681-99
tabii ki,45067,G2-L8-F45067-102
gerçekten,44982,G1-L9-F44982-104
ama,44856,G1-L3-F44856-105
bu,44603,G1-L2-F44603-106
benim,44545,G1-L5-F44545-107
gel,44322,G1-L3-F44322-109
evet evet,44023,G2-L9-F44023-111
şey,43893,G1-L3-F43893-112
ne istiyorsun,43563,G2-L13-F43563-113
evet öyle,41493,G2-L9-F41493-115
hayır hayır hayır,41386,G3-L17-F41386-116
tamam tamam,40418,G2-L11-F40418-118
yok,39262,G1-L3-F39262-120
yardım edin,39010,G2-L11-F39010-121
biliyor musun,38744,G2-L13-F38744-122
sorun yok,38354,G2-L9-F38354-123
hemen,38079,G1-L5-F38079-124
sorun ne,37971,G2-L8-F37971-125
ne oluyor,37397,G2-L9-F37397-127
olur,37338,G1-L4-F37338-128
çok üzgünüm,36445,G2-L11-F36445-130
ha,36359,G1-L2-F36359-131
al,36350,G1-L2-F36350-132
gel buraya,35978,G2-L10-F35978-133
hazır mısın,35695,G2-L11-F35695-136
öyle,34634,G1-L4-F34634-142
ben mi,33652,G2-L6-F33652-146
çok iyi,33627,G2-L7-F33627-148
sen iyi misin,32965,G3-L13-F32965-149
ve,32494,G1-L2-F32494-152
ne için,31857,G2-L7-F31857-154
nasıl yani,30796,G2-L10-F30796-157
niye,30659,G1-L4-F30659-159
bu ne,30165,G2-L5-F30165-162
evet biliyorum,30037,G2-L14-F30037-163
bu harika,29633,G2-L9-F29633-166
belki,29408,G1-L5-F29408-168
burada,29060,G1-L6-F29060-170
asla,28684,G1-L4-F28684-171
bu doğru,28097,G2-L8-F28097-172
çok teşekkür ederim,27663,G3-L19-F27663-174
nereye,27608,G1-L6-F27608-176
bırak beni,27316,G2-L10-F27316-177
sanırım,26978,G1-L7-F26978-179
hiç,26766,G1-L3-F26766-180
ne zaman,26726,G2-L8-F26726-181
sadece,26725,G1-L6-F26725-182
sorun nedir,26465,G2-L11-F26465-186
ya sen,26078,G2-L6-F26078-187
nedir bu,25838,G2-L8-F25838-190
oh tanrım,25565,G2-L9-F25565-192
hayır efendim,25529,G2-L13-F25529-193
bana bak,25404,G2-L8-F25404-197
olabilir,24727,G1-L8-F24727-200
al bakalım,24515,G2-L10-F24515-201
bakın,23800,G1-L5-F23800-206
nerede o,23504,G2-L8-F23504-208
çok teşekkürler,23165,G2-L15-F23165-214
tatlım,23119,G1-L6-F23119-215
hepsi bu,23035,G2-L8-F23035-219
beni dinle,22371,G2-L10-F22371-224
söyle,21957,G1-L5-F21957-228
çocuklar,21281,G1-L8-F21281-234
bu nedir,20904,G2-L8-F20904-238
hadi bakalım,20496,G2-L12-F20496-243
doktor,20269,G1-L6-F20269-244
bir,19306,G1-L3-F19306-252
orada,19269,G1-L5-F19269-253
evet doğru,19056,G2-L10-F19056-255
hayır değil,18740,G2-L11-F18740-259
haydi gidelim,18504,G2-L13-F18504-262
bu doğru değil,18485,G3-L14-F18485-263
hazır,18411,G1-L5-F18411-267
hadi hadi,18398,G2-L9-F18398-268
peki efendim,18387,G2-L12-F18387-269
devam edin,18014,G2-L10-F18014-272
ne kadar,17952,G2-L8-F17952-273
bu o,17682,G2-L4-F17682-277
bir şey değil,17585,G3-L13-F17585-279
ne gibi,17459,G2-L7-F17459-282
oh evet,17312,G2-L7-F17312-285
nereden biliyorsun,17210,G2-L18-F17210-286
hayır teşekkürler,17176,G2-L17-F17176-287
yok bir şey,17046,G3-L11-F17046-289
nedir o,16903,G2-L7-F16903-292
geliyor,16695,G1-L7-F16695-296
yardım et,16532,G2-L9-F16532-300
ben sadece,16504,G2-L10-F16504-301
nedir,16196,G1-L5-F16196-306
burada ne yapıyorsun,16148,G3-L20-F16148-307
ben de öyle,16083,G3-L11-F16083-309
üç,15953,G1-L2-F15953-311
bırak,15827,G1-L5-F15827-312
hayır mı,15769,G2-L8-F15769-314
bu kadar,15745,G2-L8-F15745-315
bırak onu,15450,G2-L9-F15450-322
evet tabii,15398,G2-L10-F15398-323
oh hayır,15120,G2-L8-F15120-324
öyle değil mi,15014,G3-L13-F15014-327
bir sorun mu var,14906,G4-L16-F14906-330
bir iki üç,14852,G3-L10-F14852-332
çok özür dilerim,14578,G3-L16-F14578-337
bir şey yok,14464,G3-L11-F14464-340
dur biraz,14248,G2-L9-F14248-346
benimle gel,14149,G2-L11-F14149-351
lanet,13959,G1-L5-F13959-355
dostum,13744,G1-L6-F13744-357
emin değilim,13664,G2-L12-F13664-359
git buradan,13557,G2-L11-F13557-363
o da ne,13462,G3-L7-F13462-367
dışarı,13433,G1-L6-F13433-370
sonra,13328,G1-L5-F13328-373
kimse yok mu,13244,G3-L12-F13244-380
bayan,12786,G1-L5-F12786-389
tamam o zaman,12647,G3-L13-F12647-391
dur bir dakika,12542,G3-L14-F12542-396
doğru mu,12519,G2-L8-F12519-398
o ne,12429,G2-L4-F12429-403
biz,12418,G1-L3-F12418-404
gerek yok,12352,G2-L9-F12352-406
ben de seni seviyorum,12348,G4-L21-F12348-407
evet elbette,12085,G2-L12-F12085-412
dinle beni,11746,G2-L10-F11746-421
hadi gel,11695,G2-L8-F11695-425
eminim,11684,G1-L6-F11684-427
gel hadi,11645,G2-L8-F11645-429
şimdi mi,11623,G2-L8-F11623-431
peki ya sen,11484,G3-L11-F11484-433
bekle bir dakika,11445,G3-L16-F11445-434
kaç,11440,G1-L3-F11440-435
bu kadar mı,11350,G3-L11-F11350-441
başka,11346,G1-L5-F11346-442
değil,11258,G1-L5-F11258-446
bu da ne böyle,11207,G4-L14-F11207-447
çünkü,11189,G1-L5-F11189-449
oldu,11183,G1-L4-F11183-450
evet var,11138,G2-L8-F11138-451
biraz,11118,G1-L5-F11118-453
ne yapıyorsun sen,11076,G3-L17-F11076-455
hey hey,10952,G2-L7-F10952-457
buraya,10884,G1-L6-F10884-459
hayır yok,10779,G2-L9-F10779-465
peki tamam,10728,G2-L10-F10728-466
biliyorsun,10514,G1-L10-F10514-472
yok artık,10507,G2-L9-F10507-473
ne güzel,10482,G2-L8-F10482-474
her zaman,10399,G2-L9-F10399-479
bu iyi,10399,G2-L6-F10399-478
bu mu,10374,G2-L5-F10374-482
haydi ama,10356,G2-L9-F10356-483
çok hoş,10271,G2-L7-F10271-486
evet tamam,10250,G2-L10-F10250-487
saat kaç,10182,G2-L8-F10182-489
bu doğru mu,10171,G3-L11-F10171-490
ne demek bu,10116,G3-L11-F10116-492
ne hakkında,10109,G2-L11-F10109-494
sen de,10089,G2-L6-F10089-496
öyle olsun,9807,G2-L10-F9807-509
bir bakalım,9793,G2-L11-F9793-511
gördüm,9745,G1-L6-F9745-513
belki de,9732,G2-L8-F9732-514
bekle bekle,9712,G2-L11-F9712-517
var,9561,G1-L3-F9561-521
hey sen,9530,G2-L7-F9530-522
biliyorum biliyorum,9482,G2-L19-F9482-524
dur dur,9351,G2-L7-F9351-534
o nerede,9335,G2-L8-F9335-535
bakalım,9258,G1-L7-F9258-540
burada değil,9258,G2-L12-F9258-541
olur mu,9231,G2-L7-F9231-543
tabii ya,9198,G2-L8-F9198-546
hepsi bu mu,9155,G3-L11-F9155-547
çok kötü,9081,G2-L8-F9081-552
bence de,9037,G2-L8-F9037-555
aslında,8792,G1-L7-F8792-572
emin misiniz,8764,G2-L12-F8764-574
evet benim,8752,G2-L10-F8752-575
bekle biraz,8737,G2-L11-F8737-576
şimdi ne olacak,8665,G3-L15-F8665-582
o benim,8638,G2-L7-F8638-585
neden ki,8625,G2-L8-F8625-587
tabii ki hayır,8563,G3-L14-F8563-593
yine mi,8536,G2-L7-F8536-594
burası,8466,G1-L6-F8466-597
burada neler oluyor,8454,G3-L19-F8454-598
burada mı,8438,G2-L9-F8438-599
bunu biliyorum,8417,G2-L14-F8417-600
söyle bana,8310,G2-L10-F8310-605
çok geç,8109,G2-L7-F8109-619
sen mi,8019,G2-L6-F8019-624
çok,8008,G1-L3-F8008-625
şimdi olmaz,7995,G2-L11-F7995-628
hayır olmaz,7994,G2-L11-F7994-629
söz,7994,G1-L3-F7994-630
bu da ne demek,7986,G4-L14-F7986-631
burada bekle,7985,G2-L12-F7985-632
hiç kimse,7867,G2-L9-F7867-637
o nedir,7867,G2-L7-F7867-638
pek değil,7852,G2-L9-F7852-641
teşekkür ederim efendim,7850,G3-L23-F7850-642
siz,7827,G1-L3-F7827-643
bunu biliyorsun,7763,G2-L15-F7763-646
hayır ben,7726,G2-L9-F7726-648
hem de çok,7726,G3-L10-F7726-649
değilim,7712,G1-L7-F7712-651
demek öyle,7695,G2-L10-F7695-652
gel bakalım,7677,G2-L11-F7677-654
yarın,7636,G1-L5-F7636-658
ne demek,7588,G2-L8-F7588-661
o mu,7585,G2-L4-F7585-662
kimse var mı,7552,G3-L12-F7552-668
dur bakalım,7507,G2-L11-F7507-671
ne bu,7506,G2-L5-F7506-672
al şunu,7463,G2-L7-F7463-673
haydi haydi,7438,G2-L11-F7438-676
hadi ya,7418,G2-L7-F7418-678
orada mısın,7393,G2-L11-F7393-680
ya,7359,G1-L2-F7359-683
ne yani,7343,G2-L7-F7343-684
seni,7313,G1-L4-F7313-685
evet kesinlikle,7243,G2-L15-F7243-691
merhaba tatlım,7204,G2-L14-F7204-694
hayır lütfen,7187,G2-L12-F7187-697
ama neden,7169,G2-L9-F7169-700
lütfen yapma,7114,G2-L12-F7114-704
hayır teşekkür ederim,7111,G3-L21-F7111-705
teşekkürler efendim,7104,G2-L19-F7104-708
çok doğru,7077,G2-L9-F7077-710
doğru ya,7072,G2-L8-F7072-711
güzel değil mi,7043,G3-L14-F7043-713
o kadar,7040,G2-L7-F7040-714
merhaba anne,7027,G2-L12-F7027-715
hadi hadi hadi,6989,G3-L14-F6989-719
hem de nasıl,6987,G3-L12-F6987-720
evet lütfen,6936,G2-L11-F6936-723
bu çok güzel,6909,G3-L12-F6909-724
git hadi,6908,G2-L8-F6908-725
benim de,6907,G2-L8-F6907-726
hayır değilim,6898,G2-L13-F6898-727
buradan,6857,G1-L7-F6857-733
evet ama,6846,G2-L8-F6846-734
sanırım öyle,6808,G2-L12-F6808-741
sen söyle,6787,G2-L9-F6787-743
geliyor musun,6764,G2-L13-F6764-744
tekrar,6763,G1-L6-F6763-745
uzun zaman oldu,6748,G3-L15-F6748-747
oldu mu,6720,G2-L7-F6720-752
artık değil,6715,G2-L11-F6715-754
o iyi,6700,G2-L5-F6700-756
adam,6696,G1-L4-F6696-757
merhaba baba,6643,G2-L12-F6643-762
bunu yapma,6642,G2-L10-F6642-763
sen ne yapıyorsun,6632,G3-L17-F6632-764
gidelim mi,6582,G2-L10-F6582-770
ver şunu,6566,G2-L8-F6566-772
evet sanırım,6564,G2-L12-F6564-773
neler oluyor burada,6554,G3-L19-F6554-774
seni görmek güzel,6545,G3-L17-F6545-778
selam çocuklar,6537,G2-L14-F6537-780
selam tatlım,6501,G2-L12-F6501-784
haydi bakalım,6498,G2-L13-F6498-785
hepsi bu kadar,6476,G3-L14-F6476-788
daha değil,6457,G2-L10-F6457-790
yoksa,6444,G1-L5-F6444-793
harika değil mi,6440,G3-L15-F6440-795
tamam peki,6424,G2-L10-F6424-801
neden mi,6420,G2-L8-F6420-802
neden biliyor musun,6408,G3-L19-F6408-805
evet evet evet,6406,G3-L14-F6406-806
bu çok kötü,6404,G3-L11-F6404-807
bir iki,6400,G2-L7-F6400-808
onlar,6306,G1-L5-F6306-815
tamam efendim,6269,G2-L13-F6269-823
evet tabii ki,6262,G3-L13-F6262-825
hayır sorun değil,6204,G3-L17-F6204-831
hey hey hey,6188,G3-L11-F6188-834
ne yapıyorsun burada,6168,G3-L20-F6168-838
benden ne istiyorsun,6147,G3-L20-F6147-841
bir şey mi oldu,6143,G4-L15-F6143-842
hayır hayır hayır hayır,6078,G4-L23-F6078-847
hiçbir şey yok,6061,G3-L14-F6061-851
evet ben de,6050,G3-L11-F6050-853
kesinlikle hayır,6010,G2-L16-F6010-862
para,5955,G1-L4-F5955-874
daha iyi,5944,G2-L8-F5944-876
bunu neden yapıyorsun,5921,G3-L21-F5921-878
yanlış,5915,G1-L6-F5915-880
yok mu,5911,G2-L6-F5911-881
o iyi mi,5904,G3-L8-F5904-882
bay,5872,G1-L3-F5872-888
neden ben,5867,G2-L9-F5867-890
o burada,5835,G2-L8-F5835-895
her şeyi,5823,G2-L8-F5823-897
seni çok seviyorum,5810,G3-L18-F5810-899
evet o,5777,G2-L6-F5777-901
o nasıl,5753,G2-L7-F5753-904
ver şunu bana,5750,G3-L13-F5750-905
geri gel,5737,G2-L8-F5737-906
öyle değil,5722,G2-L10-F5722-907
tamam güzel,5688,G2-L11-F5688-912
o zaman,5684,G2-L7-F5684-913
söz mü,5684,G2-L6-F5684-914
onu gördüm,5641,G2-L10-F5641-918
bana yardım et,5609,G3-L14-F5609-923
niye ki,5556,G2-L7-F5556-930
bir tane daha,5548,G3-L13-F5548-932
bu o mu,5546,G3-L7-F5546-935
dur dur dur,5517,G3-L11-F5517-940
neler oldu,5494,G2-L10-F5494-947
gidelim buradan,5480,G2-L15-F5480-950
ben de seni,5472,G3-L11-F5472-954
bir şey daha var,5470,G4-L16-F5470-955
hadi çocuklar,5459,G2-L13-F5459-958
sen ve ben,5443,G3-L10-F5443-963
biraz daha,5396,G2-L10-F5396-969
bu gece,5377,G2-L7-F5377-973
hayır bekle,5354,G2-L11-F5354-977
hemen şimdi,5344,G2-L11-F5344-981
artık çok geç,5341,G3-L13-F5341-982
onu seviyorum,5331,G2-L13-F5331-986
sen misin,5315,G2-L9-F5315-991
bu yüzden,5299,G2-L9-F5299-995
hadi dostum,5280,G2-L11-F5280-998
ama ben,5258,G2-L7-F5258-1001
tamam teşekkürler,5236,G2-L17-F5236-1002
gidelim hadi,5231,G2-L12-F5231-1004
hiç de değil,5207,G3-L12-F5207-1014
sen de öyle,5188,G3-L11-F5188-1017
bir daha,5168,G2-L8-F5168-1023
senin için,5147,G2-L10-F5147-1028
evet teşekkürler,5146,G2-L16-F5146-1029
güzel güzel,5118,G2-L11-F5118-1032
ver onu bana,5115,G3-L12-F5115-1034
biz mi,5102,G2-L6-F5102-1037
selam baba,5089,G2-L10-F5089-1038
tam olarak değil,5047,G3-L16-F5047-1047
tabii tabii,5045,G2-L11-F5045-1048
hey dostum,5037,G2-L10-F5037-1050
merhaba çocuklar,5035,G2-L16-F5035-1051
senin,5008,G1-L5-F5008-1053
bu benim,5004,G2-L8-F5004-1055
al bunu,4989,G2-L7-F4989-1056
fakat,4964,G1-L5-F4964-1064
bu güzel,4963,G2-L8-F4963-1065
mutlu musun,4928,G2-L11-F4928-1078
sonra ne oldu,4900,G3-L13-F4900-1090
sen git,4898,G2-L7-F4898-1091
ne var ne yok,4873,G4-L13-F4873-1095
ne oldu sana,4843,G3-L12-F4843-1102
ne var biliyor musun,4772,G4-L20-F4772-1112
bundan emin misin,4766,G3-L17-F4766-1116
hayır dur,4761,G2-L9-F4761-1120
lütfen lütfen,4732,G2-L13-F4732-1126
hayır sağ ol,4719,G3-L12-F4719-1129
ben biliyorum,4710,G2-L13-F4710-1131
hiç de bile,4699,G3-L11-F4699-1134
hiç bir şey,4691,G3-L11-F4691-1137
sana,4684,G1-L4-F4684-1140
sana da,4677,G2-L7-F4677-1141
kesinlikle olmaz,4656,G2-L16-F4656-1146
buna gerek yok,4655,G3-L14-F4655-1148
ve sen,4648,G2-L6-F4648-1149
gerçekten üzgünüm,4635,G2-L17-F4635-1152
bu da ne demek oluyor,4633,G5-L21-F4633-1154
bugün,4632,G1-L5-F4632-1155
hepsi,4621,G1-L5-F4621-1159
selam dostum,4618,G2-L12-F4618-1161
bu çok iyi,4618,G3-L10-F4618-1162
elbette hayır,4595,G2-L13-F4595-1167
peki o zaman,4591,G3-L12-F4591-1168
ne o,4581,G2-L4-F4581-1172
haydi gel,4556,G2-L9-F4556-1179
hayır yapma,4534,G2-L11-F4534-1184
buraya kadar,4509,G2-L12-F4509-1187
evet eminim,4499,G2-L11-F4499-1192
önemli bir şey değil,4493,G4-L20-F4493-1194
bu ne demek,4481,G3-L11-F4481-1199
eve,4456,G1-L3-F4456-1202
